Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
2.44141e-07, 1.69106, -1.22831, -1.53958, -0.900165, -1.1923, 1.2281, -1.30269, -0.00415985, 0.00117283, -0.00114708, 0.00741322, 0.00160676, 0.0011308, -0.003409, 0.701973, 64.0768, 31.6581, 6.73187, 2.59662, 3.63254, -0.0484509, 0.000199357, -0.0020763, 0.0022939, 0.00242834, 0.00197146, 0.0010028, 0.00400437, 0.00382989, 0.00162073, 0.00499981, -0.000269637, -0.00722349, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468847, -0.542919, 0.333715, -2.08259, -2.16271, -0.129078, 1.77043e-06, 3.2e-05, 1.02972e-05, -0.00362149, -0.00432739, 0.00110459
0.0121721, 1.69104, -1.22826, -1.53959, -0.900125, -1.19228, 1.22812, -1.30269, -0.000703739, 0.00579734, -0.00184421, 0.00327964, 0.00615177, 0.00123442, -0.000995446, 0.475838, 64.184, 31.7335, 6.80725, 2.58472, 3.58951, -0.0484509, 0.000183243, -0.00209471, 0.00225828, 0.00237833, 0.00193831, 0.00105585, 0.000104988, 0.000641584, 0.00334336, 0.00448616, 0.00120947, -0.00150247, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468828, -0.542947, 0.333755, -2.08271, -2.1627, -0.129105, 1.77746e-06, 6.40623e-05, 1.89552e-05, -0.000514543, -0.000580429, 0.00332331
0.0131721, 1.69104, -1.22826, -1.53959, -0.900125, -1.19228, 1.22812, -1.30269, -0.000703739, 0.00579734, -0.00184421, 0.00327964, 0.00615177, 0.00123442, -0.000995446, 0.475838, 64.184, 31.7335, 6.80725, 2.58472, 3.58951, -0.0484509, 0.000183235, -0.00209471, 0.00225828, 0.00237833, 0.00193831, 0.00105585, 0.000141244, 0.000642733, 0.0033394, 0.00449079, 0.00123601, -0.00149986, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468828, -0.542947, 0.333755, -2.08271, -2.1627, -0.129105, 1.77167e-06, 9.92934e-05, 2.84561e-05, -0.000514543, -0.000580429, 0.00332331
0.0141721, 1.69104, -1.22826, -1.53959, -0.900125, -1.19228, 1.22812, -1.30269, -0.000703739, 0.00579734, -0.00184421, 0.00327964, 0.00615177, 0.00123442, -0.000995446, 0.475838, 64.184, 31.7335, 6.80725, 2.58472, 3.58951, -0.0484509, 0.000183215, -0.00209471, 0.00225829, 0.00237832, 0.0019383, 0.00105586, 0.000180889, 0.000643977, 0.00333508, 0.00449589, 0.00126502, -0.001497, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468828, -0.542947, 0.333755, -2.08271, -2.1627, -0.129105, 1.75167e-06, 0.000137819, 3.88327e-05, -0.000514543, -0.000580429, 0.00332331
0.0151721, 1.69104, -1.22826, -1.53959, -0.900125, -1.19228, 1.22812, -1.30269, -0.000703739, 0.00579734, -0.00184421, 0.00327964, 0.00615177, 0.00123442, -0.000995446, 0.475838, 64.184, 31.7335, 6.80725, 2.58472, 3.58951, -0.0484509, 0.000183176, -0.00209471, 0.00225829, 0.00237831, 0.00193828, 0.00105587, 0.00022405, 0.000645317, 0.0033304, 0.00450148, 0.00129658, -0.00149388, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468828, -0.542947, 0.333755, -2.08271, -2.1627, -0.129105, 1.716e-06, 0.000179762, 5.01169e-05, -0.000514543, -0.000580429, 0.00332331
0.0161721, 1.69104, -1.22826, -1.53959, -0.900125, -1.19228, 1.22812, -1.30269, -0.000703739, 0.00579734, -0.00184421, 0.00327964, 0.00615177, 0.00123442, -0.000995446, 0.475838, 64.184, 31.7335, 6.80725, 2.58472, 3.58951, -0.0484509, 0.000183112, -0.00209471, 0.0022583, 0.00237828, 0.00193825, 0.00105588, 0.000270854, 0.000646757, 0.00332533, 0.00450756, 0.0013308, -0.00149049, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468828, -0.542947, 0.333755, -2.08271, -2.1627, -0.129105, 1.66317e-06, 0.000225248, 6.23407e-05, -0.000514543, -0.000580429, 0.00332331
0.0171721, 1.69104, -1.22826, -1.53959, -0.900125, -1.19228, 1.22812, -1.30269, -0.000703739, 0.00579734, -0.00184421, 0.00327964, 0.00615177, 0.00123442, -0.000995446, 0.475838, 64.184, 31.7335, 6.80725, 2.58472, 3.58951, -0.0484509, 0.000183016, -0.00209472, 0.00225831, 0.00237824, 0.0019382, 0.00105591, 0.000321426, 0.000648298, 0.00331987, 0.00451416, 0.00136775, -0.00148684, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468828, -0.542947, 0.333755, -2.08271, -2.1627, -0.129105, 1.59159e-06, 0.000274397, 7.55354e-05, -0.000514543, -0.000580429, 0.00332331
0.0181809, 1.69104, -1.22826, -1.53959, -0.900125, -1.19228, 1.22812, -1.30269, -0.000703739, 0.00579734, -0.00184421, 0.00327964, 0.00615177, 0.00123442, -0.000995446, 0.475838, 64.184, 31.7335, 6.80725, 2.58472, 3.58951, -0.0484509, 0.000182882, -0.00209472, 0.00225832, 0.00237819, 0.00193814, 0.00105594, 0.000375889, 0.000649944, 0.003314, 0.00452131, 0.00140753, -0.00148289, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468828, -0.542947, 0.333755, -2.08271, -2.1627, -0.129105, 1.49965e-06, 0.00032733, 8.9732e-05, -0.000514543, -0.000580429, 0.00332331
0.0191812, 1.69104, -1.22826, -1.53959, -0.900125, -1.19228, 1.22812, -1.30269, -0.000703739, 0.00579734, -0.00184421, 0.00327964, 0.00615177, 0.00123442, -0.000995446, 0.475838, 64.184, 31.7335, 6.80725, 2.58472, 3.58951, -0.0484509, 0.000182704, -0.00209473, 0.00225834, 0.00237812, 0.00193805, 0.00105598, 0.000434367, 0.000651697, 0.00330772, 0.00452902, 0.00145023, -0.00147865, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468828, -0.542947, 0.333755, -2.08271, -2.1627, -0.129105, 1.38564e-06, 0.000384166, 0.000104961, -0.000514543, -0.000580429, 0.00332331
0.0201814, 1.69104, -1.22826, -1.53959, -0.900125, -1.19228, 1.22812, -1.30269, -0.000703739, 0.00579734, -0.00184421, 0.00327964, 0.00615177, 0.00123442, -0.000995446, 0.475838, 64.184, 31.7335, 6.80725, 2.58472, 3.58951, -0.0484509, 0.000182476, -0.00209473, 0.00225837, 0.00237802, 0.00193794, 0.00105604, 0.000496977, 0.000653558, 0.003301, 0.0045373, 0.00149593, -0.00147411, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468828, -0.542947, 0.333755, -2.08271, -2.1627, -0.129105, 1.24785e-06, 0.00044502, 0.000121252, -0.000514543, -0.000580429, 0.00332331
