Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
4.88281e-07, 1.69153, -1.22521, -1.53763, -0.900014, -1.19191, 1.22859, -1.30267, -0.00637723, -0.00524662, -0.0114628, 0.00348579, 4.7173e-05, -0.000111063, 0.00105727, -0.960319, 57.5546, 27.417, 6.43433, 2.00702, 2.95871, -0.147328, 0.00108837, -0.00142504, -0.000260558, -0.000145421, -0.000919007, -0.00031923, 0.00687391, 0.0062497, -0.00637756, -0.00794983, -0.00498672, -0.0159416, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469567, -0.542403, 0.336374, -2.08405, -2.16679, -0.129167, -4.06186e-05, 0.000124715, 6.6488e-05, -0.00626667, -0.00593551, -0.00710935
0.0122556, 1.6915, -1.22525, -1.53772, -0.900006, -1.19191, 1.22859, -1.30266, -0.00119165, -0.00456452, -0.0086564, -0.000615513, -0.000184576, 6.47642e-05, 0.000937787, -0.845268, 57.6657, 27.5281, 6.5097, 2.02533, 2.95871, -0.153737, 0.00104812, -0.00146113, -0.000208004, -7.48544e-05, -0.000880871, -0.000231296, 0.00286901, 0.00191511, -0.00584234, -0.00819396, -0.0036283, -0.00593144, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469519, -0.542446, 0.336306, -2.0841, -2.16661, -0.1291, -6.68636e-05, 0.000218577, 0.000115026, -0.0020878, -0.00179293, -0.00604139
0.0132556, 1.6915, -1.22525, -1.53772, -0.900006, -1.19191, 1.22859, -1.30266, -0.00119165, -0.00456452, -0.0086564, -0.000615513, -0.000184576, 6.47642e-05, 0.000937787, -0.845268, 57.6657, 27.5281, 6.5097, 2.02533, 2.95871, -0.153737, 0.00104809, -0.00146113, -0.000207996, -7.48653e-05, -0.000880865, -0.000231284, 0.00297987, 0.00188903, -0.00587799, -0.00824124, -0.00355583, -0.00602104, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469519, -0.542446, 0.336306, -2.0841, -2.16661, -0.1291, -9.5592e-05, 0.000321476, 0.000168224, -0.0020878, -0.00179293, -0.00604139
0.0142556, 1.6915, -1.22525, -1.53772, -0.900006, -1.19191, 1.22859, -1.30266, -0.00119165, -0.00456452, -0.0086564, -0.000615513, -0.000184576, 6.47642e-05, 0.000937787, -0.845268, 57.6657, 27.5281, 6.5097, 2.02533, 2.95871, -0.153737, 0.00104803, -0.00146111, -0.000207976, -7.48948e-05, -0.000880851, -0.000231251, 0.00310085, 0.00186061, -0.00591688, -0.00829275, -0.00347679, -0.00611873, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469519, -0.542446, 0.336306, -2.0841, -2.16661, -0.1291, -0.000126895, 0.000433757, 0.000226255, -0.0020878, -0.00179293, -0.00604139
0.0152556, 1.6915, -1.22525, -1.53772, -0.900006, -1.19191, 1.22859, -1.30266, -0.00119165, -0.00456452, -0.0086564, -0.000615513, -0.000184576, 6.47642e-05, 0.000937787, -0.845268, 57.6657, 27.5281, 6.5097, 2.02533, 2.95871, -0.153737, 0.00104791, -0.00146108, -0.000207938, -7.49522e-05, -0.000880823, -0.000231186, 0.00323229, 0.00182978, -0.00595912, -0.00834862, -0.00339095, -0.00622479, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469519, -0.542446, 0.336306, -2.0841, -2.16661, -0.1291, -0.000160861, 0.000555757, 0.000289294, -0.0020878, -0.00179293, -0.00604139
0.0162556, 1.6915, -1.22525, -1.53772, -0.900006, -1.19191, 1.22859, -1.30266, -0.00119165, -0.00456452, -0.0086564, -0.000615513, -0.000184576, 6.47642e-05, 0.000937787, -0.845268, 57.6657, 27.5281, 6.5097, 2.02533, 2.95871, -0.153737, 0.00104771, -0.00146104, -0.000207874, -7.50466e-05, -0.000880777, -0.000231081, 0.00337455, 0.00179645, -0.00600483, -0.00840901, -0.00329807, -0.0063395, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129886, 0.469519, -0.542446, 0.336306, -2.0841, -2.16661, -0.1291, -0.000197581, 0.000687809, 0.000357511, -0.0020878, -0.00179293, -0.00604139
0.0172559, 1.6915, -1.22525, -1.53772, -0.900006, -1.19191, 1.22859, -1.30266, -0.00119165, -0.00456452, -0.0086564, -0.000615513, -0.000184576, 6.47642e-05, 0.000937787, -0.845268, 57.6657, 27.5281, 6.5097, 2.02533, 2.95871, -0.153737, 0.00104742, -0.00146097, -0.000207779, -7.51871e-05, -0.000880708, -0.000230924, 0.003528, 0.00176055, -0.00605412, -0.00847405, -0.00319792, -0.00646315, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129886, 0.469519, -0.542446, 0.336306, -2.0841, -2.16661, -0.1291, -0.000237139, 0.000830243, 0.000431075, -0.0020878, -0.00179293, -0.00604139
0.0182559, 1.6915, -1.22525, -1.53772, -0.900006, -1.19191, 1.22859, -1.30266, -0.00119165, -0.00456452, -0.0086564, -0.000615513, -0.000184576, 6.47642e-05, 0.000937787, -0.845268, 57.6657, 27.5281, 6.5097, 2.02533, 2.95871, -0.153737, 0.00104701, -0.00146087, -0.000207648, -7.53827e-05, -0.000880613, -0.000230706, 0.00369297, 0.00172201, -0.0061071, -0.00854388, -0.00309029, -0.006596, 0.471008, -0.543388, 0.335894, -2.08385, -2.16584, -0.129886, 0.469519, -0.542446, 0.336306, -2.0841, -2.16661, -0.1291, -0.000279621, 0.000983381, 0.00051015, -0.0020878, -0.00179293, -0.00604139
0.0192559, 1.6915, -1.22525, -1.53772, -0.900006, -1.19191, 1.22859, -1.30266, -0.00119165, -0.00456452, -0.0086564, -0.000615513, -0.000184576, 6.47642e-05, 0.000937787, -0.845268, 57.6657, 27.5281, 6.5097, 2.02533, 2.95871, -0.153737, 0.00104647, -0.00146074, -0.000207473, -7.56423e-05, -0.000880487, -0.000230417, 0.00386982, 0.00168074, -0.00616387, -0.00861864, -0.00297495, -0.00673833, 0.471008, -0.543388, 0.335895, -2.08385, -2.16584, -0.129886, 0.469519, -0.542446, 0.336306, -2.0841, -2.16661, -0.1291, -0.00032511, 0.00114754, 0.000594898, -0.0020878, -0.00179293, -0.00604139
0.0202559, 1.6915, -1.22525, -1.53772, -0.900006, -1.19191, 1.22859, -1.30266, -0.00119165, -0.00456452, -0.0086564, -0.000615513, -0.000184576, 6.47642e-05, 0.000937787, -0.845268, 57.6657, 27.5281, 6.5097, 2.02533, 2.95871, -0.153737, 0.00104577, -0.00146058, -0.000207249, -7.59749e-05, -0.000880325, -0.000230046, 0.00405886, 0.00163667, -0.00622455, -0.00869846, -0.00285169, -0.00689038, 0.471007, -0.543387, 0.335895, -2.08384, -2.16584, -0.129885, 0.469519, -0.542446, 0.336306, -2.0841, -2.16661, -0.1291, -0.000373687, 0.00132303, 0.000685479, -0.0020878, -0.00179293, -0.00604139
