Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
2.44141e-07, 1.69091, -1.23059, -1.54148, -0.900535, -1.19262, 1.22746, -1.3026, -0.00459802, -0.00862175, -0.0127581, 0.00322331, 0.00396956, -0.00395023, 0.000964584, 1.68189, 71.4401, 36.9822, 7.70386, 3.12488, 4.92343, -0.226063, -0.000355792, -0.0025272, 0.00440666, 0.00513852, 0.00415338, 0.00189764, 0.0052506, 0.00567379, -0.00924284, -0.011226, -0.0133554, -0.0129111, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468351, -0.543157, 0.331572, -2.08098, -2.15952, -0.128203, -1.48327e-05, 4.00419e-05, -1.29039e-06, -0.00582718, -0.00395303, -0.0097718
0.0131174, 1.69085, -1.23062, -1.54158, -0.900506, -1.19255, 1.2274, -1.30259, -0.00744874, -0.00324182, -0.0110988, 0.00283753, 0.00362489, -0.00857356, 0.00210382, 1.38038, 71.4798, 37.0933, 7.5531, 3.05713, 4.90146, -0.284657, -0.000395012, -0.002588, 0.00445657, 0.00521552, 0.00427067, 0.00201282, 0.00518942, 0.00786762, -0.00579076, -0.013237, -0.0101231, -0.0159212, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468277, -0.543199, 0.33151, -2.08101, -2.15926, -0.128225, -2.49008e-05, 7.8927e-05, 1.60533e-06, -0.00790582, -0.00447482, -0.00628463
0.0141174, 1.69085, -1.23062, -1.54158, -0.900506, -1.19255, 1.2274, -1.30259, -0.00744874, -0.00324182, -0.0110988, 0.00283753, 0.00362489, -0.00857356, 0.00210382, 1.38038, 71.4798, 37.0933, 7.5531, 3.05713, 4.90146, -0.284657, -0.000395021, -0.002588, 0.00445657, 0.00521552, 0.00427066, 0.00201283, 0.00523248, 0.00785826, -0.00578696, -0.013237, -0.0100749, -0.0158905, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468277, -0.543199, 0.33151, -2.08101, -2.15926, -0.128225, -3.59273e-05, 0.000121646, 4.81928e-06, -0.00790582, -0.00447482, -0.00628463
0.0151174, 1.69085, -1.23062, -1.54158, -0.900506, -1.19255, 1.2274, -1.30259, -0.00744874, -0.00324182, -0.0110988, 0.00283753, 0.00362489, -0.00857356, 0.00210382, 1.38038, 71.4798, 37.0933, 7.5531, 3.05713, 4.90146, -0.284657, -0.000395044, -0.00258799, 0.00445657, 0.00521552, 0.00427064, 0.00201284, 0.00527957, 0.00784806, -0.00578284, -0.0132369, -0.0100223, -0.0158571, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468277, -0.543199, 0.33151, -2.08101, -2.15926, -0.128225, -4.79476e-05, 0.000168349, 8.36616e-06, -0.00790582, -0.00447482, -0.00628463
0.0161174, 1.69085, -1.23062, -1.54158, -0.900506, -1.19255, 1.2274, -1.30259, -0.00744874, -0.00324182, -0.0110988, 0.00283753, 0.00362489, -0.00857356, 0.00210382, 1.38038, 71.4798, 37.0933, 7.5531, 3.05713, 4.90146, -0.284657, -0.000395091, -0.00258798, 0.00445656, 0.0052155, 0.0042706, 0.00201286, 0.00533083, 0.00783699, -0.00577839, -0.0132367, -0.00996505, -0.0158207, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468277, -0.543199, 0.33151, -2.08101, -2.15926, -0.128225, -6.09969e-05, 0.000219187, 1.22607e-05, -0.00790582, -0.00447482, -0.00628463
0.0171174, 1.69085, -1.23062, -1.54158, -0.900506, -1.19255, 1.2274, -1.30259, -0.00744874, -0.00324182, -0.0110988, 0.00283753, 0.00362489, -0.00857356, 0.00210382, 1.38038, 71.4798, 37.0933, 7.5531, 3.05713, 4.90146, -0.284657, -0.000395168, -0.00258796, 0.00445656, 0.00521548, 0.00427052, 0.00201289, 0.00538641, 0.00782502, -0.0057736, -0.0132365, -0.00990306, -0.0157814, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468277, -0.543199, 0.33151, -2.08101, -2.15926, -0.128225, -7.51097e-05, 0.000274308, 1.65177e-05, -0.00790582, -0.00447482, -0.00628463
0.0181174, 1.69085, -1.23062, -1.54158, -0.900506, -1.19255, 1.2274, -1.30259, -0.00744874, -0.00324182, -0.0110988, 0.00283753, 0.00362489, -0.00857356, 0.00210382, 1.38038, 71.4798, 37.0933, 7.5531, 3.05713, 4.90146, -0.284657, -0.000395282, -0.00258794, 0.00445655, 0.00521546, 0.00427042, 0.00201294, 0.00544647, 0.00781212, -0.00576846, -0.0132361, -0.00983615, -0.015739, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468277, -0.543199, 0.33151, -2.08101, -2.15926, -0.128225, -9.03198e-05, 0.000333859, 2.1152e-05, -0.00790582, -0.00447482, -0.00628463
0.0191174, 1.69085, -1.23062, -1.54158, -0.900506, -1.19255, 1.2274, -1.30259, -0.00744874, -0.00324182, -0.0110988, 0.00283753, 0.00362489, -0.00857356, 0.00210382, 1.38038, 71.4798, 37.0933, 7.5531, 3.05713, 4.90146, -0.284657, -0.000395442, -0.0025879, 0.00445653, 0.00521542, 0.00427026, 0.00201301, 0.00551114, 0.00779828, -0.00576296, -0.0132357, -0.00976416, -0.0156934, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468277, -0.543199, 0.33151, -2.08101, -2.15926, -0.128225, -0.000106661, 0.000397984, 2.61782e-05, -0.00790582, -0.00447482, -0.00628463
0.0201174, 1.69085, -1.23062, -1.54158, -0.900506, -1.19255, 1.2274, -1.30259, -0.00744874, -0.00324182, -0.0110988, 0.00283753, 0.00362489, -0.00857356, 0.00210382, 1.38038, 71.4798, 37.0933, 7.5531, 3.05713, 4.90146, -0.284657, -0.000395654, -0.00258786, 0.00445652, 0.00521537, 0.00427006, 0.00201311, 0.00558057, 0.00778345, -0.0057571, -0.0132351, -0.00968694, -0.0156446, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468277, -0.543199, 0.33151, -2.08101, -2.15926, -0.128225, -0.000124165, 0.000466826, 3.16113e-05, -0.00790582, -0.00447482, -0.00628463
0.0211174, 1.69085, -1.23062, -1.54158, -0.900506, -1.19255, 1.2274, -1.30259, -0.00744874, -0.00324182, -0.0110988, 0.00283753, 0.00362489, -0.00857356, 0.00210382, 1.38038, 71.4798, 37.0933, 7.5531, 3.05713, 4.90146, -0.284657, -0.000395925, -0.0025878, 0.00445649, 0.0052153, 0.00426981, 0.00201323, 0.00565491, 0.00776761, -0.00575086, -0.0132344, -0.00960432, -0.0155924, 0.471008, -0.543388, 0.335894, -2.08385, -2.16584, -0.129887, 0.468277, -0.543199, 0.33151, -2.08101, -2.15926, -0.128225, -0.000142864, 0.000540525, 3.74658e-05, -0.00790582, -0.00447482, -0.00628463
0.0221174, 1.69078, -1.23064, -1.5416, -0.900518, -1.19247, 1.22739, -1.3026, -0.00622236, -0.00161869, -0.00187911, 0.000675236, 0.00407214, -0.000855026, -0.00205153, 1.22962, 71.5155, 36.9068, 7.66418, 2.94635, 4.95914, -0.199513, -0.000411452, -0.0026196, 0.00447715, 0.0052081, 0.0043641, 0.00204208, 0.0032198, 0.0035081, -0.00121374, 0.0006769, -0.00481592, -0.00374149, 0.471008, -0.543388, 0.335894, -2.08384, -2.16584, -0.129888, 0.468245, -0.543212, 0.331488, -2.08099, -2.15918, -0.128326, -0.000162789, 0.000619218, 4.37565e-05, -0.00359504, -0.00251618, -0.00154871
0.0231174, 1.69078, -1.23064, -1.54161, -0.900528, -1.19245, 1.22739, -1.30259, -0.00296185, -0.00176134, -0.00245898, -0.00223377, 0.00474041, -0.000353888, 0.00107371, 1.15424, 71.4044, 36.9465, 7.77924, 2.89783, 4.95181, -0.265431, -0.000407594, -0.00261803, 0.00447568, 0.00520686, 0.00436824, 0.00204073, 0.00105116, 0.00094225, -0.00202569, -0.000992508, -0.00475902, -0.00109299, 0.471008, -0.543388, 0.335894, -2.08384, -2.16584, -0.129888, 0.468246, -0.543208, 0.33149, -2.08099, -2.15918, -0.128332, -0.000183971, 0.000703042, 5.04979e-05, -0.00116054, -6.14571e-05, -0.00208446
0.0241174, 1.69077, -1.23065, -1.54161, -0.900528, -1.19244, 1.22739, -1.30259, -0.00554796, -0.0153369, -0.00839491, 0.000279562, 0.00607824, -0.0030106, 0.000207183, 1.15424, 71.1823, 36.6846, 7.70386, 2.82367, 4.90878, -0.251698, -0.000412004, -0.00262209, 0.00448588, 0.00520889, 0.00438992, 0.00204949, 0.00494729, 0.00408383, -0.0118545, -0.0074055, -0.020521, -0.00704861, 0.471008, -0.543387, 0.335894, -2.08384, -2.16584, -0.129888, 0.468242, -0.543211, 0.33148, -2.08098, -2.15916, -0.128351, -0.000206438, 0.000792126, 5.77046e-05, -0.004536, -0.00243446, -0.0122925
