Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
4.88281e-07, 1.6911, -1.23047, -1.54165, -0.900726, -1.1929, 1.22684, -1.30249, -0.00608703, -0.000283943, -0.00991225, 0.00356142, 0.00106716, -0.000633462, -0.00103029, 1.07887, 70.6665, 37.5019, 7.92602, 3.92322, 5.7117, -0.363392, -0.000229596, -0.00255374, 0.00448474, 0.00605719, 0.00407608, 0.00182814, 0.00544609, 0.00594672, -0.00287318, -0.0060714, -0.00135537, -0.01258, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468319, -0.543016, 0.331521, -2.08045, -2.15929, -0.127111, -1.41255e-05, -9.11997e-05, -6.59526e-05, -0.00586215, -0.00526882, -0.00356902
0.0121299, 1.69103, -1.23048, -1.54173, -0.900711, -1.19289, 1.22683, -1.30249, -0.00508224, -0.00293526, -0.01116, 0.00051824, 0.000792532, -0.00835284, -0.00153289, 1.00349, 70.6308, 37.5773, 8.0014, 3.89209, 5.77579, -0.369801, -0.000279745, -0.00261239, 0.00451745, 0.00612528, 0.00410009, 0.00194224, 0.00379304, 0.00631535, -0.00598614, -0.0157937, -0.00721005, -0.00910916, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468246, -0.543077, 0.331468, -2.08053, -2.15909, -0.127053, -2.13283e-05, -0.000136675, -0.000102379, -0.00640897, -0.00321829, -0.0064116
0.0131299, 1.69103, -1.23048, -1.54173, -0.900711, -1.19289, 1.22683, -1.30249, -0.00508224, -0.00293526, -0.01116, 0.00051824, 0.000792532, -0.00835284, -0.00153289, 1.00349, 70.6308, 37.5773, 8.0014, 3.89209, 5.77579, -0.369801, -0.000279733, -0.00261239, 0.00451744, 0.00612527, 0.00410009, 0.00194224, 0.00373816, 0.00630667, -0.00595419, -0.0157653, -0.00720054, -0.00916996, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468246, -0.543077, 0.331468, -2.08053, -2.15909, -0.127053, -2.91898e-05, -0.000186294, -0.000142179, -0.00640897, -0.00321829, -0.0064116
0.0141299, 1.69103, -1.23048, -1.54173, -0.900711, -1.19289, 1.22683, -1.30249, -0.00508224, -0.00293526, -0.01116, 0.00051824, 0.000792532, -0.00835284, -0.00153289, 1.00349, 70.6308, 37.5773, 8.0014, 3.89209, 5.77579, -0.369801, -0.000279702, -0.00261239, 0.00451743, 0.00612525, 0.0041001, 0.00194223, 0.00367853, 0.00629724, -0.00591943, -0.0157343, -0.00719004, -0.00923618, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468246, -0.543077, 0.331468, -2.08053, -2.15909, -0.127053, -3.77325e-05, -0.000240197, -0.00018547, -0.00640897, -0.00321829, -0.0064116
0.0151299, 1.69103, -1.23048, -1.54173, -0.900711, -1.19289, 1.22683, -1.30249, -0.00508224, -0.00293526, -0.01116, 0.00051824, 0.000792532, -0.00835284, -0.00153289, 1.00349, 70.6308, 37.5773, 8.0014, 3.89209, 5.77579, -0.369801, -0.000279642, -0.00261238, 0.00451739, 0.0061252, 0.00410011, 0.00194222, 0.003614, 0.00628703, -0.00588177, -0.0157005, -0.00717852, -0.00930801, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468246, -0.543077, 0.331468, -2.08053, -2.15909, -0.127053, -4.69786e-05, -0.000298522, -0.00023237, -0.00640897, -0.00321829, -0.0064116
0.0161299, 1.69103, -1.23048, -1.54173, -0.900711, -1.19289, 1.22683, -1.30249, -0.00508224, -0.00293526, -0.01116, 0.00051824, 0.000792532, -0.00835284, -0.00153289, 1.00349, 70.6308, 37.5773, 8.0014, 3.89209, 5.77579, -0.369801, -0.000279544, -0.00261236, 0.00451733, 0.00612511, 0.00410013, 0.00194221, 0.00354442, 0.00627602, -0.0058411, -0.015664, -0.00716592, -0.00938563, 0.471008, -0.54339, 0.335894, -2.08385, -2.16584, -0.129887, 0.468246, -0.543077, 0.331468, -2.08053, -2.15909, -0.127053, -5.69498e-05, -0.000361405, -0.000282992, -0.00640897, -0.00321829, -0.0064116
0.0171299, 1.69103, -1.23048, -1.54173, -0.900711, -1.19289, 1.22683, -1.30249, -0.00508224, -0.00293526, -0.01116, 0.00051824, 0.000792532, -0.00835284, -0.00153289, 1.00349, 70.6308, 37.5773, 8.0014, 3.89209, 5.77579, -0.369801, -0.000279398, -0.00261234, 0.00451725, 0.00612499, 0.00410016, 0.00194219, 0.00346965, 0.0062642, -0.00579734, -0.0156245, -0.00715221, -0.00946924, 0.471008, -0.54339, 0.335894, -2.08385, -2.16584, -0.129886, 0.468246, -0.543077, 0.331468, -2.08053, -2.15909, -0.127053, -6.7667e-05, -0.000428975, -0.000337449, -0.00640897, -0.00321829, -0.0064116
0.0181299, 1.69103, -1.23048, -1.54173, -0.900711, -1.19289, 1.22683, -1.30249, -0.00508224, -0.00293526, -0.01116, 0.00051824, 0.000792532, -0.00835284, -0.00153289, 1.00349, 70.6308, 37.5773, 8.0014, 3.89209, 5.77579, -0.369801, -0.000279195, -0.0026123, 0.00451713, 0.00612482, 0.00410021, 0.00194216, 0.00338953, 0.00625152, -0.00575041, -0.0155821, -0.00713734, -0.009559, 0.471008, -0.54339, 0.335893, -2.08385, -2.16584, -0.129886, 0.468246, -0.543077, 0.331468, -2.08053, -2.15909, -0.127053, -7.91509e-05, -0.000501362, -0.000395848, -0.00640897, -0.00321829, -0.0064116
0.0191299, 1.69103, -1.23048, -1.54173, -0.900711, -1.19289, 1.22683, -1.30249, -0.00508224, -0.00293526, -0.01116, 0.00051824, 0.000792532, -0.00835284, -0.00153289, 1.00349, 70.6308, 37.5773, 8.0014, 3.89209, 5.77579, -0.369801, -0.000278927, -0.00261226, 0.00451698, 0.00612459, 0.00410026, 0.00194213, 0.00330394, 0.00623799, -0.0057002, -0.0155366, -0.00712126, -0.00965508, 0.471008, -0.54339, 0.335893, -2.08385, -2.16584, -0.129886, 0.468246, -0.543077, 0.331468, -2.08053, -2.15909, -0.127053, -9.14213e-05, -0.000578688, -0.000458296, -0.00640897, -0.00321829, -0.0064116
0.0201299, 1.69103, -1.23048, -1.54173, -0.900711, -1.19289, 1.22683, -1.30249, -0.00508224, -0.00293526, -0.01116, 0.00051824, 0.000792532, -0.00835284, -0.00153289, 1.00349, 70.6308, 37.5773, 8.0014, 3.89209, 5.77579, -0.369801, -0.000278583, -0.00261221, 0.00451678, 0.0061243, 0.00410034, 0.00194208, 0.00321274, 0.00622356, -0.00564665, -0.0154879, -0.00710394, -0.00975766, 0.471008, -0.54339, 0.335893, -2.08385, -2.16584, -0.129885, 0.468246, -0.543077, 0.331468, -2.08053, -2.15909, -0.127053, -0.000104498, -0.000661074, -0.000524897, -0.00640897, -0.00321829, -0.0064116
