Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
2.44141e-07, 1.69134, -1.22783, -1.54021, -0.900538, -1.19185, 1.22831, -1.3027, 0.00223404, 0.00130267, 0.00472771, 0.00617178, 0.000864701, 0.00134804, 0.00166237, -0.694511, 64.1483, 32.4793, 7.66418, 2.11139, 3.3533, -0.0557752, 0.00041868, -0.00186622, 0.00227729, 0.00275946, 0.00168011, 0.000552504, -0.000289995, -0.00103244, 0.00329811, 0.00840064, 0.000490957, -0.0023223, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469046, -0.542701, 0.33376, -2.0821, -2.16322, -0.12845, -4.82042e-07, 4.44613e-06, 1.21621e-06, 0.00113931, -0.000174658, 0.00327175
0.0120498, 1.69136, -1.2278, -1.54015, -0.900504, -1.19184, 1.22831, -1.3027, 0.0055862, 0.0038718, 0.00490365, 0.00300211, 0.00104918, 0.000386526, -0.00082131, -0.809562, 63.9261, 32.2928, 7.5531, 2.06836, 3.33133, -0.0356336, 0.000434219, -0.00184865, 0.00223588, 0.00268603, 0.00165782, 0.000530876, -0.00312044, -0.00345125, 0.00416883, 0.00599398, 0.00279433, 0.00634568, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469066, -0.542692, 0.333809, -2.08213, -2.1633, -0.128533, -1.47349e-06, 1.36697e-05, 3.70923e-06, 0.00348422, 0.00259382, 0.0045004
0.0130498, 1.69136, -1.2278, -1.54015, -0.900504, -1.19184, 1.22831, -1.3027, 0.0055862, 0.0038718, 0.00490365, 0.00300211, 0.00104918, 0.000386526, -0.00082131, -0.809562, 63.9261, 32.2928, 7.5531, 2.06836, 3.33133, -0.0356336, 0.000434211, -0.00184865, 0.00223588, 0.00268603, 0.00165782, 0.000530877, -0.00310669, -0.00345224, 0.00416738, 0.00599592, 0.00280051, 0.00634683, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469066, -0.542692, 0.333809, -2.08213, -2.1633, -0.128533, -2.9032e-06, 2.69793e-05, 7.30333e-06, 0.00348422, 0.00259382, 0.0045004
0.0140498, 1.69136, -1.2278, -1.54015, -0.900504, -1.19184, 1.22831, -1.3027, 0.0055862, 0.0038718, 0.00490365, 0.00300211, 0.00104918, 0.000386526, -0.00082131, -0.809562, 63.9261, 32.2928, 7.5531, 2.06836, 3.33133, -0.0356336, 0.000434191, -0.00184865, 0.00223589, 0.00268602, 0.00165781, 0.000530879, -0.00308807, -0.00345358, 0.00416543, 0.00599856, 0.00280888, 0.00634837, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469066, -0.542692, 0.333809, -2.08213, -2.1633, -0.128533, -4.83863e-06, 4.50071e-05, 1.21677e-05, 0.00348422, 0.00259382, 0.0045004
0.0150498, 1.69136, -1.2278, -1.54015, -0.900504, -1.19184, 1.22831, -1.3027, 0.0055862, 0.0038718, 0.00490365, 0.00300211, 0.00104918, 0.000386526, -0.00082131, -0.809562, 63.9261, 32.2928, 7.5531, 2.06836, 3.33133, -0.0356336, 0.000434152, -0.00184865, 0.00223589, 0.00268601, 0.0016578, 0.000530884, -0.00306398, -0.00345532, 0.0041629, 0.00600198, 0.00281971, 0.00635037, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469066, -0.542692, 0.333809, -2.08213, -2.1633, -0.128533, -7.34058e-06, 6.83239e-05, 1.84546e-05, 0.00348422, 0.00259382, 0.0045004
0.0160498, 1.69136, -1.2278, -1.54015, -0.900504, -1.19184, 1.22831, -1.3027, 0.0055862, 0.0038718, 0.00490365, 0.00300211, 0.00104918, 0.000386526, -0.00082131, -0.809562, 63.9261, 32.2928, 7.5531, 2.06836, 3.33133, -0.0356336, 0.000434087, -0.00184864, 0.0022359, 0.002686, 0.00165778, 0.000530891, -0.00303393, -0.00345748, 0.00415975, 0.00600627, 0.00283324, 0.00635286, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469066, -0.542692, 0.333809, -2.08213, -2.1633, -0.128533, -1.04607e-05, 9.7416e-05, 2.62933e-05, 0.00348422, 0.00259382, 0.0045004
0.0170498, 1.69136, -1.2278, -1.54015, -0.900504, -1.19184, 1.22831, -1.3027, 0.0055862, 0.0038718, 0.00490365, 0.00300211, 0.00104918, 0.000386526, -0.00082131, -0.809562, 63.9261, 32.2928, 7.5531, 2.06836, 3.33133, -0.0356336, 0.000433991, -0.00184863, 0.00223591, 0.00268597, 0.00165774, 0.000530903, -0.00299753, -0.0034601, 0.00415594, 0.00601147, 0.00284964, 0.00635589, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469066, -0.542692, 0.333809, -2.08213, -2.1633, -0.128533, -1.42391e-05, 0.000132663, 3.57838e-05, 0.00348422, 0.00259382, 0.0045004
0.0180498, 1.69136, -1.2278, -1.54015, -0.900504, -1.19184, 1.22831, -1.3027, 0.0055862, 0.0038718, 0.00490365, 0.00300211, 0.00104918, 0.000386526, -0.00082131, -0.809562, 63.9261, 32.2928, 7.5531, 2.06836, 3.33133, -0.0356336, 0.000433856, -0.00184862, 0.00223592, 0.00268593, 0.0016577, 0.000530919, -0.00295451, -0.00346319, 0.00415144, 0.00601764, 0.00286903, 0.00635946, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469066, -0.542692, 0.333809, -2.08213, -2.1633, -0.128533, -1.87016e-05, 0.000174312, 4.69907e-05, 0.00348422, 0.00259382, 0.0045004
0.0190498, 1.69136, -1.2278, -1.54015, -0.900504, -1.19184, 1.22831, -1.3027, 0.0055862, 0.0038718, 0.00490365, 0.00300211, 0.00104918, 0.000386526, -0.00082131, -0.809562, 63.9261, 32.2928, 7.5531, 2.06836, 3.33133, -0.0356336, 0.000433678, -0.00184861, 0.00223594, 0.00268589, 0.00165764, 0.00053094, -0.00290479, -0.00346676, 0.00414626, 0.00602479, 0.00289146, 0.00636359, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469066, -0.542692, 0.333809, -2.08213, -2.1633, -0.128533, -2.38577e-05, 0.00022246, 5.99368e-05, 0.00348422, 0.00259382, 0.0045004
0.0200498, 1.69136, -1.22777, -1.54008, -0.900507, -1.19183, 1.22832, -1.3027, -0.00094955, 0.00362416, 0.00656927, -0.000706795, 0.000700658, -0.000424798, -0.00255819, -0.734184, 63.6325, 32.1818, 7.59277, 2.05005, 3.33865, -0.00999879, 0.000452466, -0.00183374, 0.00219512, 0.00261548, 0.0016373, 0.000484353, -0.00138722, -0.00074145, 0.00434382, 0.00585972, 0.0025614, 0.00558955, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469081, -0.542679, 0.333852, -2.08213, -2.16339, -0.128595, -2.96979e-05, 0.000277024, 7.45974e-05, 0.000817986, 0.00100829, 0.00455674
0.0210498, 1.69137, -1.22778, -1.54007, -0.900501, -1.19183, 1.22832, -1.3027, 0.000226689, 0.000773825, 0.0069532, 0.00130625, 0.000907864, -0.000283205, 0.000464681, -0.76989, 63.7079, 32.2175, 7.51739, 2.03815, 3.33865, -0.0685925, 0.000454437, -0.00183136, 0.00219622, 0.00261018, 0.00164823, 0.000486909, -0.00108976, -0.00112509, 0.0030286, 0.00695669, -0.000508652, 0.00227732, 0.471008, -0.543388, 0.335894, -2.08385, -2.16584, -0.129887, 0.469083, -0.542677, 0.333851, -2.08213, -2.16338, -0.128612, -3.61913e-05, 0.000337726, 9.08941e-05, 0.0011578, 0.000993454, 0.00321664
0.0220498, 1.69137, -1.22777, -1.54006, -0.900503, -1.19183, 1.22832, -1.30269, -0.000665713, -0.00195964, 0.00400457, -0.00446281, 0.00152073, 0.000353726, 0.00102186, -0.734184, 63.4103, 31.9953, 7.47772, 2.01343, 3.324, -0.0878186, 0.000455814, -0.00182962, 0.00219034, 0.00259819, 0.00164342, 0.000484812, -0.00152349, -0.00163098, -0.00032811, 0.00239696, -0.00272379, 0.00473382, 0.471008, -0.543388, 0.335894, -2.08385, -2.16584, -0.129887, 0.469085, -0.542676, 0.333857, -2.08214, -2.16339, -0.128621, -4.33151e-05, 0.00040436, 0.000108769, 0.00151924, 0.00202563, -2.79228e-05
0.0230498, 1.69138, -1.22777, -1.54006, -0.900502, -1.19182, 1.22832, -1.3027, 0.00545243, -0.000979398, 0.00195778, -0.00319454, 0.000224563, 0.000235814, -0.000505552, -0.845268, 62.8232, 31.6224, 7.33093, 1.90906, 3.324, -0.0557752, 0.000462631, -0.00182262, 0.00218762, 0.00259876, 0.00164225, 0.000470769, -0.00320921, -0.00423977, -0.000642041, -0.000357453, -0.000498195, 0.00976128, 0.471008, -0.543388, 0.335894, -2.08385, -2.16584, -0.129887, 0.469092, -0.542669, 0.333861, -2.08212, -2.16341, -0.12862, -5.10658e-05, 0.000476901, 0.000128212, 0.00404531, 0.00391741, -0.000135457
0.0240498, 1.69138, -1.22775, -1.54008, -0.900508, -1.19182, 1.22832, -1.3027, 0.00709317, 0.00196308, -0.00259527, -0.00318552, -0.00199502, 0.000394565, -0.00349052, -0.845268, 61.9742, 31.2137, 7.21588, 1.82941, 3.31759, 0.0293689, 0.000464382, -0.00182154, 0.0021848, 0.0026112, 0.00162713, 0.000462694, -0.00272643, -0.00408621, -0.000607516, -0.00522733, 0.00470642, 0.0113786, 0.471008, -0.543387, 0.335894, -2.08385, -2.16584, -0.129887, 0.469093, -0.542667, 0.333864, -2.08212, -2.16342, -0.128592, -5.94401e-05, 0.000555325, 0.000149214, 0.00390207, 0.00350762, -0.000150661
0.0250498, 1.69139, -1.22776, -1.54009, -0.900516, -1.19182, 1.22832, -1.3027, 0.00613432, 0.00284901, -0.00644409, -0.00343839, 0.000733393, -0.000788119, -0.00232701, -0.884941, 61.2759, 30.8051, 7.1048, 1.75525, 3.34598, 0.0293689, 0.00046564, -0.00181772, 0.00219426, 0.00262909, 0.00162762, 0.000457807, -0.00223539, -0.0030062, -0.00154875, -0.00823318, 0.00304978, 0.00854208, 0.471008, -0.543387, 0.335895, -2.08385, -2.16584, -0.129887, 0.469097, -0.542664, 0.333855, -2.0821, -2.16342, -0.128573, -6.84344e-05, 0.000639605, 0.000171766, 0.00279805, 0.00320782, -0.00110117
0.0260498, 1.6914, -1.22777, -1.54011, -0.900524, -1.19182, 1.22832, -1.30269, 0.00825172, -0.00597084, -0.00443714, -0.00353946, -0.00244672, -0.000796682, -9.32792e-05, -0.920646, 60.6848, 30.3211, 6.99371, 1.69391, 3.3533, -0.00999879, 0.000466147, -0.00181463, 0.00220945, 0.00265332, 0.00163674, 0.000456367, -0.0020783, -0.00437665, -0.00615488, -0.00907165, -0.00314587, 0.00856064, 0.471008, -0.543386, 0.335895, -2.08384, -2.16584, -0.129887, 0.469099, -0.54266, 0.33384, -2.08208, -2.1634, -0.128556, -7.80454e-05, 0.000729718, 0.000195859, 0.00399647, 0.00390788, -0.00569095
0.0270498, 1.69141, -1.22779, -1.54014, -0.900532, -1.19183, 1.22832, -1.30269, 0.00601715, -0.0108123, -0.0134608, -0.00379269, -0.00128771, 0.00028268, -0.000333454, -0.920646, 60.2802, 29.9839, 6.88263, 1.66369, 3.33133, -0.00267457, 0.000462451, -0.00181232, 0.00223258, 0.00268279, 0.00164798, 0.000455308, 0.00114534, -0.002008, -0.012033, -0.0156451, -0.00780794, 0.00296288, 0.471008, -0.543385, 0.335895, -2.08384, -2.16584, -0.129887, 0.469101, -0.542659, 0.333817, -2.08206, -2.16339, -0.128535, -8.82697e-05, 0.000825639, 0.000221482, 0.00152374, 0.00162915, -0.0118984
