Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
4.88281e-07, 0.107562, -0.77355, -0.913773, -1.45392, -0.624925, 1.07119, -0.2567, -0.00213829, -0.00187588, -0.00476861, -0.00027374, -0.00304504, -0.000702699, -0.000141985, -0.0161054, 14.7952, 15.8762, 12.7423, 0.693236, 2.27756, -0.226063, 0.00149575, -0.00186459, -0.00149758, -0.00370461, 0.00178018, -0.000489538, 0.00366394, -0.00112204, -0.00150454, -0.00247549, 0.00118221, -0.00695203, -0.011112, -0.444721, 0.635038, -3.13187, -0.0555627, -0.107532, -0.0097793, -0.442815, 0.636649, -3.13544, -0.0566336, -0.110553, 0, 0, 0, -0.00351001, -0.00123725, -0.00175957
0.0171165, 0.10754, -0.77355, -0.913819, -1.45393, -0.62493, 1.07118, -0.256695, 0.000869959, 0.000227289, -0.00255546, -0.000812718, 0.000250572, -0.000506512, -0.000915897, -0.0161054, 14.8309, 15.8405, 12.7423, 0.680419, 2.32059, -0.238881, 0.00147081, -0.00185723, -0.00148275, -0.00366919, 0.00176673, -0.000428127, 0.000204775, -0.0003441, -0.00103338, -0.00268654, 0.000953697, 0.000387374, -0.011112, -0.444721, 0.635038, -3.13187, -0.0555627, -0.107532, -0.00981331, -0.442826, 0.63663, -3.1354, -0.0565106, -0.11053, 1.73063e-06, -1.42215e-06, -3.96181e-06, -0.000119436, -0.000343615, -0.00105107
0.0181165, 0.10754, -0.77355, -0.913819, -1.45393, -0.62493, 1.07118, -0.256695, 0.000869959, 0.000227289, -0.00255546, -0.000812718, 0.000250572, -0.000506512, -0.000915897, -0.0161054, 14.8309, 15.8405, 12.7423, 0.680419, 2.32059, -0.238881, 0.00147081, -0.00185723, -0.00148276, -0.00366921, 0.0017667, -0.000428119, 0.000208981, -0.000339592, -0.00102124, -0.00266242, 0.000970152, 0.000430949, -0.011112, -0.444721, 0.635038, -3.13187, -0.0555628, -0.107532, -0.00981331, -0.442826, 0.63663, -3.1354, -0.0565106, -0.11053, 6.91577e-06, -5.6745e-06, -1.58141e-05, -0.000119436, -0.000343615, -0.00105107
0.0191165, 0.10754, -0.77355, -0.913819, -1.45393, -0.62493, 1.07118, -0.256695, 0.000869959, 0.000227289, -0.00255546, -0.000812718, 0.000250572, -0.000506512, -0.000915897, -0.0161054, 14.8309, 15.8405, 12.7423, 0.680419, 2.32059, -0.238881, 0.0014708, -0.00185724, -0.00148278, -0.00366926, 0.00176665, -0.0004281, 0.000215984, -0.000332106, -0.00100106, -0.00262236, 0.000997492, 0.000503349, -0.011112, -0.444721, 0.635038, -3.13187, -0.0555628, -0.107532, -0.00981331, -0.442826, 0.63663, -3.1354, -0.0565106, -0.11053, 1.55453e-05, -1.2736e-05, -3.55071e-05, -0.000119436, -0.000343615, -0.00105107
0.0201165, 0.10754, -0.77355, -0.913819, -1.45393, -0.62493, 1.07118, -0.256695, 0.000869959, 0.000227289, -0.00255546, -0.000812718, 0.000250572, -0.000506512, -0.000915897, -0.0161054, 14.8309, 15.8405, 12.7423, 0.680419, 2.32059, -0.238881, 0.00147078, -0.00185726, -0.00148283, -0.00366937, 0.00176653, -0.000428062, 0.000225777, -0.000321663, -0.000972901, -0.00256649, 0.00103565, 0.000604392, -0.011112, -0.444721, 0.635038, -3.13187, -0.0555628, -0.107532, -0.00981331, -0.442826, 0.63663, -3.1354, -0.0565106, -0.11053, 2.7609e-05, -2.25855e-05, -6.29913e-05, -0.000119436, -0.000343615, -0.00105107
0.0211165, 0.10754, -0.77355, -0.913819, -1.45393, -0.62493, 1.07118, -0.256695, 0.000869959, 0.000227289, -0.00255546, -0.000812718, 0.000250572, -0.000506512, -0.000915897, -0.0161054, 14.8309, 15.8405, 12.7423, 0.680419, 2.32059, -0.238881, 0.00147076, -0.00185729, -0.00148291, -0.00366954, 0.00176634, -0.000428, 0.000238355, -0.000308285, -0.000936807, -0.00249492, 0.00108454, 0.000733895, -0.0111119, -0.444721, 0.635038, -3.13187, -0.0555629, -0.107532, -0.00981331, -0.442826, 0.63663, -3.1354, -0.0565106, -0.11053, 4.30968e-05, -3.5202e-05, -9.82172e-05, -0.000119436, -0.000343615, -0.00105107
0.0221165, 0.10754, -0.77355, -0.913819, -1.45393, -0.62493, 1.07118, -0.256695, 0.000869959, 0.000227289, -0.00255546, -0.000812718, 0.000250572, -0.000506512, -0.000915897, -0.0161054, 14.8309, 15.8405, 12.7423, 0.680419, 2.32059, -0.238881, 0.00147071, -0.00185733, -0.00148303, -0.0036698, 0.00176607, -0.000427908, 0.000253712, -0.000291994, -0.00089283, -0.00240777, 0.00114411, 0.000891675, -0.0111119, -0.444721, 0.635038, -3.13187, -0.0555631, -0.107533, -0.00981331, -0.442826, 0.63663, -3.1354, -0.0565106, -0.11053, 6.19987e-05, -5.05647e-05, -0.000141136, -0.000119436, -0.000343615, -0.00105107
0.0231165, 0.10754, -0.77355, -0.913819, -1.45393, -0.62493, 1.07118, -0.256695, 0.000869959, 0.000227289, -0.00255546, -0.000812718, 0.000250572, -0.000506512, -0.000915897, -0.0161054, 14.8309, 15.8405, 12.7423, 0.680419, 2.32059, -0.238881, 0.00147066, -0.0018574, -0.0014832, -0.00367016, 0.00176568, -0.000427779, 0.000271842, -0.00027281, -0.000841017, -0.00230515, 0.00121428, 0.00107755, -0.0111118, -0.444721, 0.635037, -3.13187, -0.0555633, -0.107533, -0.00981331, -0.442826, 0.63663, -3.1354, -0.0565106, -0.11053, 8.43044e-05, -6.86525e-05, -0.000191697, -0.000119436, -0.000343615, -0.00105107
0.0241165, 0.10754, -0.77355, -0.913819, -1.45393, -0.62493, 1.07118, -0.256695, 0.000869959, 0.000227289, -0.00255546, -0.000812718, 0.000250572, -0.000506512, -0.000915897, -0.0161054, 14.8309, 15.8405, 12.7423, 0.680419, 2.32059, -0.238881, 0.00147058, -0.00185748, -0.00148343, -0.00367064, 0.00176516, -0.000427608, 0.000292739, -0.000250757, -0.00078142, -0.00218718, 0.00129498, 0.00129134, -0.0111117, -0.444721, 0.635037, -3.13187, -0.0555636, -0.107534, -0.00981331, -0.442826, 0.63663, -3.1354, -0.0565106, -0.11053, 0.000110004, -8.94448e-05, -0.000249853, -0.000119436, -0.000343615, -0.00105107
0.0251165, 0.10754, -0.77355, -0.913819, -1.45393, -0.62493, 1.07118, -0.256695, 0.000869959, 0.000227289, -0.00255546, -0.000812718, 0.000250572, -0.000506512, -0.000915897, -0.0161054, 14.8309, 15.8405, 12.7423, 0.680419, 2.32059, -0.238881, 0.00147048, -0.00185759, -0.00148371, -0.00367125, 0.0017645, -0.000427389, 0.000316396, -0.000225854, -0.000714087, -0.00205398, 0.00138615, 0.00153287, -0.0111116, -0.444721, 0.635037, -3.13187, -0.055564, -0.107535, -0.00981331, -0.442826, 0.63663, -3.1354, -0.0565106, -0.11053, 0.000139087, -0.000112921, -0.000315553, -0.000119436, -0.000343615, -0.00105107
0.0261165, 0.10754, -0.77355, -0.913819, -1.45393, -0.62493, 1.07118, -0.256695, 0.000869959, 0.000227289, -0.00255546, -0.000812718, 0.000250572, -0.000506512, -0.000915897, -0.0161054, 14.8309, 15.8405, 12.7423, 0.680419, 2.32059, -0.238881, 0.00147035, -0.00185772, -0.00148407, -0.00367201, 0.00176368, -0.000427116, 0.000342809, -0.000198123, -0.000639068, -0.00190566, 0.00148771, 0.00180194, -0.0111114, -0.444721, 0.635037, -3.13186, -0.0555644, -0.107536, -0.00981331, -0.442826, 0.63663, -3.1354, -0.0565106, -0.11053, 0.000171544, -0.000139059, -0.00038875, -0.000119436, -0.000343615, -0.00105107
0.0271165, 0.10754, -0.77355, -0.913819, -1.45393, -0.62493, 1.07118, -0.256695, 0.000869959, 0.000227289, -0.00255546, -0.000812718, 0.000250572, -0.000506512, -0.000915897, -0.0161054, 14.8309, 15.8405, 12.7423, 0.680419, 2.32059, -0.238881, 0.0014702, -0.00185789, -0.00148451, -0.00367294, 0.00176268, -0.000426784, 0.00037197, -0.000167586, -0.000556411, -0.00174234, 0.00159959, 0.00209839, -0.0111112, -0.444721, 0.635036, -3.13186, -0.055565, -0.107538, -0.00981331, -0.442826, 0.63663, -3.1354, -0.0565106, -0.11053, 0.000207364, -0.00016784, -0.000469394, -0.000119436, -0.000343615, -0.00105107
0.0281165, 0.107577, -0.77355, -0.913797, -1.45394, -0.624928, 1.07118, -0.256702, 0.00716882, -3.61422e-05, 0.00292274, -0.00099494, -3.79996e-05, -0.00030189, 0.00419224, -0.468376, 14.8706, 15.543, 12.8177, 0.662108, 2.32791, -0.172963, 0.00149691, -0.00186265, -0.00148579, -0.00367621, 0.00175405, -0.00049586, -0.00405819, 0.000709013, 0.000853768, 0.00171243, 0.00145337, 0.00772856, -0.011111, -0.444722, 0.635036, -3.13186, -0.0555656, -0.10754, -0.00978671, -0.44282, 0.636632, -3.1354, -0.0566187, -0.110519, 0.000246538, -0.000199242, -0.000557437, 0.00420889, 0.000644717, 0.000577478
