Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
4.88281e-07, 0.1076, -0.774152, -0.916085, -1.45627, -0.6251, 1.07037, -0.256747, -7.95039e-05, 0.000496001, 0.00173156, -0.000328677, 0.001356, 0.000577924, -0.00130885, -0.131157, 16.0092, 19.2246, 15.7297, 0.920287, 3.08047, -0.10796, 0.000952763, -0.00167465, -2.8628e-05, -0.000221912, 0.000196039, 6.58455e-05, -0.00106782, 0.000419387, 0.000464046, 0.000876229, -0.000689746, 0.00336724, -0.011112, -0.444721, 0.635038, -3.13187, -0.0555627, -0.107532, -0.0102181, -0.443013, 0.635145, -3.13207, -0.0558936, -0.107839, 0, 0, 0, 0.00101791, 0.000452683, 0.000538883
0.0137849, 0.107572, -0.774144, -0.916083, -1.45626, -0.625094, 1.07037, -0.256751, 0.00418376, 0.00168645, -0.00146597, 0.000209357, -0.000126379, 0.000709521, -0.000454784, -0.0161054, 15.9021, 19.2643, 15.69, 0.920287, 3.05209, -0.127186, 0.000943037, -0.00167555, -3.27731e-05, -0.000229678, 0.000198061, 9.12318e-05, -0.00189451, -0.000510904, -0.000351236, -0.000320188, 0.0013818, 0.00335667, -0.011112, -0.444721, 0.635038, -3.13187, -0.0555627, -0.107532, -0.0102338, -0.443013, 0.635146, -3.13207, -0.0558346, -0.107855, 1.73063e-06, -1.42215e-06, -3.96181e-06, 0.00193285, -0.000442331, -0.000227364
0.0147852, 0.107572, -0.774144, -0.916083, -1.45626, -0.625094, 1.07037, -0.256751, 0.00418376, 0.00168645, -0.00146597, 0.000209357, -0.000126379, 0.000709521, -0.000454784, -0.0161054, 15.9021, 19.2643, 15.69, 0.920287, 3.05209, -0.127186, 0.000943034, -0.00167555, -3.27825e-05, -0.000229698, 0.000198039, 9.1239e-05, -0.0018903, -0.000506396, -0.000339094, -0.000296031, 0.00139832, 0.0034002, -0.011112, -0.444721, 0.635038, -3.13187, -0.0555628, -0.107532, -0.0102338, -0.443013, 0.635146, -3.13207, -0.0558346, -0.107855, 6.91577e-06, -5.6745e-06, -1.58141e-05, 0.00193285, -0.000442331, -0.000227364
0.0157852, 0.107572, -0.774144, -0.916083, -1.45626, -0.625094, 1.07037, -0.256751, 0.00418376, 0.00168645, -0.00146597, 0.000209357, -0.000126379, 0.000709521, -0.000454784, -0.0161054, 15.9021, 19.2643, 15.69, 0.920287, 3.05209, -0.127186, 0.000943025, -0.00167556, -3.2808e-05, -0.000229752, 0.000197981, 9.12585e-05, -0.0018833, -0.00049891, -0.000318918, -0.000255913, 0.00142577, 0.00347252, -0.011112, -0.444721, 0.635038, -3.13187, -0.0555628, -0.107532, -0.0102338, -0.443013, 0.635146, -3.13207, -0.0558346, -0.107855, 1.55453e-05, -1.2736e-05, -3.55071e-05, 0.00193285, -0.000442331, -0.000227364
0.0167852, 0.107572, -0.774144, -0.916083, -1.45626, -0.625094, 1.07037, -0.256751, 0.00418376, 0.00168645, -0.00146597, 0.000209357, -0.000126379, 0.000709521, -0.000454784, -0.0161054, 15.9021, 19.2643, 15.69, 0.920287, 3.05209, -0.127186, 0.000943008, -0.00167558, -3.28575e-05, -0.000229858, 0.000197867, 9.12966e-05, -0.00187351, -0.000488467, -0.000290758, -0.000199953, 0.00146409, 0.00357345, -0.011112, -0.444721, 0.635038, -3.13187, -0.0555628, -0.107532, -0.0102338, -0.443013, 0.635146, -3.13207, -0.0558346, -0.107855, 2.7609e-05, -2.25855e-05, -6.29913e-05, 0.00193285, -0.000442331, -0.000227364
0.0177852, 0.107572, -0.774144, -0.916083, -1.45626, -0.625094, 1.07037, -0.256751, 0.00418376, 0.00168645, -0.00146597, 0.000209357, -0.000126379, 0.000709521, -0.000454784, -0.0161054, 15.9021, 19.2643, 15.69, 0.920287, 3.05209, -0.127186, 0.000942979, -0.00167561, -3.29389e-05, -0.000230031, 0.00019768, 9.13591e-05, -0.00186093, -0.000475089, -0.000254665, -0.000128268, 0.00151319, 0.00370281, -0.0111119, -0.444721, 0.635038, -3.13187, -0.0555629, -0.107532, -0.0102338, -0.443013, 0.635146, -3.13207, -0.0558346, -0.107855, 4.30968e-05, -3.5202e-05, -9.82172e-05, 0.00193285, -0.000442331, -0.000227364
0.0187852, 0.107572, -0.774144, -0.916083, -1.45626, -0.625094, 1.07037, -0.256751, 0.00418376, 0.00168645, -0.00146597, 0.000209357, -0.000126379, 0.000709521, -0.000454784, -0.0161054, 15.9021, 19.2643, 15.69, 0.920287, 3.05209, -0.127186, 0.000942937, -0.00167566, -3.30602e-05, -0.00023029, 0.000197402, 9.14522e-05, -0.00184557, -0.000458798, -0.000210688, -4.09756e-05, 0.001573, 0.00386042, -0.0111119, -0.444721, 0.635038, -3.13187, -0.0555631, -0.107533, -0.0102338, -0.443013, 0.635146, -3.13207, -0.0558346, -0.107855, 6.19987e-05, -5.05647e-05, -0.000141136, 0.00193285, -0.000442331, -0.000227364
0.0197854, 0.107572, -0.774144, -0.916083, -1.45626, -0.625094, 1.07037, -0.256751, 0.00418376, 0.00168645, -0.00146597, 0.000209357, -0.000126379, 0.000709521, -0.000454784, -0.0161054, 15.9021, 19.2643, 15.69, 0.920287, 3.05209, -0.127186, 0.000942878, -0.00167572, -3.32291e-05, -0.00023065, 0.000197014, 9.15819e-05, -0.00182744, -0.000439614, -0.000158876, 6.18071e-05, 0.00164347, 0.0040461, -0.0111118, -0.444721, 0.635037, -3.13187, -0.0555633, -0.107533, -0.0102338, -0.443013, 0.635146, -3.13207, -0.0558346, -0.107855, 8.43044e-05, -6.86525e-05, -0.000191697, 0.00193285, -0.000442331, -0.000227364
0.0207854, 0.107572, -0.774144, -0.916083, -1.45626, -0.625094, 1.07037, -0.256751, 0.00418376, 0.00168645, -0.00146597, 0.000209357, -0.000126379, 0.000709521, -0.000454784, -0.0161054, 15.9021, 19.2643, 15.69, 0.920287, 3.05209, -0.127186, 0.0009428, -0.0016758, -3.34534e-05, -0.000231128, 0.000196499, 9.17541e-05, -0.00180654, -0.00041756, -9.92801e-05, 0.000179963, 0.00172451, 0.00425966, -0.0111117, -0.444721, 0.635037, -3.13187, -0.0555636, -0.107534, -0.0102338, -0.443013, 0.635146, -3.13207, -0.0558346, -0.107855, 0.000110004, -8.94448e-05, -0.000249853, 0.00193285, -0.000442331, -0.000227364
0.0217854, 0.107572, -0.774144, -0.916083, -1.45626, -0.625094, 1.07037, -0.256751, 0.00418376, 0.00168645, -0.00146597, 0.000209357, -0.000126379, 0.000709521, -0.000454784, -0.0161054, 15.9021, 19.2643, 15.69, 0.920287, 3.05209, -0.127186, 0.000942699, -0.00167591, -3.37408e-05, -0.00023174, 0.000195839, 9.19747e-05, -0.00178289, -0.000392658, -3.19485e-05, 0.000313377, 0.00181606, 0.00450092, -0.0111116, -0.444721, 0.635037, -3.13187, -0.055564, -0.107535, -0.0102338, -0.443013, 0.635146, -3.13207, -0.0558346, -0.107855, 0.000139087, -0.000112921, -0.000315553, 0.00193285, -0.000442331, -0.000227364
0.0227854, 0.107572, -0.774144, -0.916083, -1.45626, -0.625094, 1.07037, -0.256751, 0.00418376, 0.00168645, -0.00146597, 0.000209357, -0.000126379, 0.000709521, -0.000454784, -0.0161054, 15.9021, 19.2643, 15.69, 0.920287, 3.05209, -0.127186, 0.000942574, -0.00167604, -3.40989e-05, -0.000232503, 0.000195017, 9.22496e-05, -0.00175648, -0.000364927, 4.30693e-05, 0.000461931, 0.00191804, 0.00476971, -0.0111114, -0.444721, 0.635037, -3.13186, -0.0555644, -0.107536, -0.0102338, -0.443013, 0.635146, -3.13207, -0.0558346, -0.107855, 0.000171544, -0.000139059, -0.00038875, 0.00193285, -0.000442331, -0.000227364
0.0237854, 0.107569, -0.774132, -0.916054, -1.45624, -0.625092, 1.07037, -0.256746, -0.000330063, 0.00463661, 0.00174076, 0.00362094, -0.00624608, 0.000126377, 0.000700829, 0.0196001, 15.791, 18.9667, 15.5035, 0.889159, 3.03744, -0.166554, 0.000951896, -0.00168085, -4.90046e-05, -0.000265041, 0.000198049, 8.46997e-05, 0.000305115, -0.000335538, 0.00227205, 0.00733129, 0.0075057, -0.00284223, -0.0111112, -0.444721, 0.635036, -3.13186, -0.055565, -0.107538, -0.0102255, -0.443009, 0.635161, -3.13211, -0.0558457, -0.107863, 0.000207364, -0.00016784, -0.000469394, -0.000240364, -0.000533434, 0.00177421
0.0247854, 0.107569, -0.774129, -0.916053, -1.45623, -0.625092, 1.07037, -0.256751, -0.000200754, 0.00428863, 0.0043519, 0.00441041, -0.00497901, 8.42513e-05, -0.00122824, 0.0196001, 15.7513, 18.9667, 15.4282, 0.895568, 3.03744, -0.120778, 0.000950577, -0.00168105, -5.17325e-05, -0.000268735, 0.000198322, 8.39818e-05, -0.000532953, 0.000296863, 0.00332564, 0.00900784, 0.00570945, 0.00173097, -0.011111, -0.444722, 0.635036, -3.13186, -0.0555656, -0.10754, -0.0102268, -0.443009, 0.635163, -3.13211, -0.0558474, -0.107866, 0.000246538, -0.000199242, -0.000557437, 0.0005397, 8.75639e-05, 0.00279872
