Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
9.76563e-07, 1.6913, -1.22559, -1.53804, -0.899991, -1.19175, 1.22834, -1.30262, -0.00137986, 0.00739206, 0.0062311, 0.00391503, 0.00216226, 0.000348149, 0.00163006, -0.468376, 56.6342, 27.417, 6.54541, 1.68201, 3.28097, -0.160145, 0.000917054, -0.00165091, 0.000114887, 0.000338597, -0.000297269, 0.000107691, -0.000487702, 0.000343447, 0.00714997, 0.00937916, 0.00507122, -0.00293787, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469319, -0.542537, 0.335957, -2.08393, -2.16574, -0.12918, -4.06186e-05, 0.000124715, 6.6488e-05, -0.000142977, -0.000508353, 0.00721258
0.0121833, 1.69129, -1.22554, -1.538, -0.899993, -1.19173, 1.22834, -1.30262, -0.00197561, 0.00509312, 0.00346148, 0.00193156, 0.00240922, -0.000189693, -0.00124992, -0.43267, 56.8921, 27.4885, 6.47003, 1.63257, 3.28097, -0.232472, 0.000931512, -0.00164645, 7.21089e-05, 0.000291249, -0.000325563, 9.32006e-05, -1.83103e-05, 0.000726244, 0.00449467, 0.00551956, 0.00271346, -0.000203949, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469328, -0.542526, 0.336017, -2.08396, -2.16581, -0.129223, -6.68636e-05, 0.000218577, 0.000115026, -0.000630586, -0.000484859, 0.0045779
0.0131833, 1.69129, -1.22554, -1.538, -0.899993, -1.19173, 1.22834, -1.30262, -0.00197561, 0.00509312, 0.00346148, 0.00193156, 0.00240922, -0.000189693, -0.00124992, -0.43267, 56.8921, 27.4885, 6.47003, 1.63257, 3.28097, -0.232472, 0.00093149, -0.00164645, 7.21163e-05, 0.000291239, -0.000325558, 9.32128e-05, 9.25594e-05, 0.000700159, 0.00445902, 0.00547231, 0.00278592, -0.000293573, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469328, -0.542526, 0.336017, -2.08396, -2.16581, -0.129223, -9.5592e-05, 0.000321476, 0.000168224, -0.000630586, -0.000484859, 0.0045779
0.0141833, 1.69129, -1.22554, -1.538, -0.899993, -1.19173, 1.22834, -1.30262, -0.00197561, 0.00509312, 0.00346148, 0.00193156, 0.00240922, -0.000189693, -0.00124992, -0.43267, 56.8921, 27.4885, 6.47003, 1.63257, 3.28097, -0.232472, 0.000931428, -0.00164643, 7.21362e-05, 0.000291209, -0.000325544, 9.32458e-05, 0.000213533, 0.000671742, 0.00442013, 0.00542085, 0.00286495, -0.000391288, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469328, -0.542526, 0.336017, -2.08396, -2.16581, -0.129223, -0.000126895, 0.000433757, 0.000226255, -0.000630586, -0.000484859, 0.0045779
0.0151833, 1.69129, -1.22554, -1.538, -0.899993, -1.19173, 1.22834, -1.30262, -0.00197561, 0.00509312, 0.00346148, 0.00193156, 0.00240922, -0.000189693, -0.00124992, -0.43267, 56.8921, 27.4885, 6.47003, 1.63257, 3.28097, -0.232472, 0.000931308, -0.0016464, 7.21749e-05, 0.000291152, -0.000325516, 9.33098e-05, 0.000344973, 0.00064091, 0.00437789, 0.00536502, 0.00295079, -0.000497379, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469328, -0.542526, 0.336017, -2.08396, -2.16581, -0.129223, -0.000160861, 0.000555757, 0.000289294, -0.000630586, -0.000484859, 0.0045779
0.0161833, 1.69129, -1.22554, -1.538, -0.899993, -1.19173, 1.22834, -1.30262, -0.00197561, 0.00509312, 0.00346148, 0.00193156, 0.00240922, -0.000189693, -0.00124992, -0.43267, 56.8921, 27.4885, 6.47003, 1.63257, 3.28097, -0.232472, 0.000931111, -0.00164636, 7.22385e-05, 0.000291057, -0.000325469, 9.34151e-05, 0.00048724, 0.000607586, 0.00433218, 0.00530468, 0.00304366, -0.000612129, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129886, 0.469328, -0.542526, 0.336017, -2.08396, -2.16581, -0.129223, -0.000197581, 0.000687809, 0.000357511, -0.000630586, -0.000484859, 0.0045779
0.0171833, 1.69129, -1.22554, -1.538, -0.899993, -1.19173, 1.22834, -1.30262, -0.00197561, 0.00509312, 0.00346148, 0.00193156, 0.00240922, -0.000189693, -0.00124992, -0.43267, 56.8921, 27.4885, 6.47003, 1.63257, 3.28097, -0.232472, 0.000930817, -0.00164629, 7.23332e-05, 0.000290917, -0.000325401, 9.35717e-05, 0.000640687, 0.000571689, 0.00428289, 0.00523969, 0.0031438, -0.000735814, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129886, 0.469328, -0.542526, 0.336017, -2.08396, -2.16581, -0.129223, -0.000237139, 0.000830243, 0.000431075, -0.000630586, -0.000484859, 0.0045779
0.0181833, 1.69129, -1.22554, -1.538, -0.899993, -1.19173, 1.22834, -1.30262, -0.00197561, 0.00509312, 0.00346148, 0.00193156, 0.00240922, -0.000189693, -0.00124992, -0.43267, 56.8921, 27.4885, 6.47003, 1.63257, 3.28097, -0.232472, 0.000930408, -0.00164619, 7.2465e-05, 0.000290721, -0.000325306, 9.37897e-05, 0.000805661, 0.000533145, 0.00422991, 0.00516991, 0.00325142, -0.000868706, 0.471008, -0.543388, 0.335894, -2.08385, -2.16584, -0.129886, 0.469328, -0.542526, 0.336017, -2.08396, -2.16581, -0.129223, -0.000279621, 0.000983381, 0.00051015, -0.000630586, -0.000484859, 0.0045779
0.0191833, 1.69129, -1.22554, -1.538, -0.899993, -1.19173, 1.22834, -1.30262, -0.00197561, 0.00509312, 0.00346148, 0.00193156, 0.00240922, -0.000189693, -0.00124992, -0.43267, 56.8921, 27.4885, 6.47003, 1.63257, 3.28097, -0.232472, 0.000929865, -0.00164606, 7.264e-05, 0.000290461, -0.000325179, 9.4079e-05, 0.000982505, 0.000491878, 0.00417314, 0.00509521, 0.00336675, -0.00101107, 0.471008, -0.543388, 0.335895, -2.08385, -2.16584, -0.129886, 0.469328, -0.542526, 0.336017, -2.08396, -2.16581, -0.129223, -0.00032511, 0.00114754, 0.000594898, -0.000630586, -0.000484859, 0.0045779
0.0201833, 1.69129, -1.22554, -1.538, -0.899993, -1.19173, 1.22834, -1.30262, -0.00197561, 0.00509312, 0.00346148, 0.00193156, 0.00240922, -0.000189693, -0.00124992, -0.43267, 56.8921, 27.4885, 6.47003, 1.63257, 3.28097, -0.232472, 0.00092917, -0.0016459, 7.28642e-05, 0.000290129, -0.000325017, 9.44495e-05, 0.00117155, 0.000447815, 0.00411246, 0.00501545, 0.00348999, -0.00116317, 0.471007, -0.543387, 0.335895, -2.08384, -2.16584, -0.129885, 0.469328, -0.542526, 0.336017, -2.08396, -2.16581, -0.129223, -0.000373687, 0.00132303, 0.000685479, -0.000630586, -0.000484859, 0.0045779
