Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
1.2207e-06, 1.6912, -1.22757, -1.5395, -0.900288, -1.19249, 1.22802, -1.3026, -0.0102848, -0.00251397, -0.0077279, 0.0049996, 0.00694377, -0.00559326, -0.000100336, 0.511544, 63.4103, 31.8842, 7.14447, 2.89783, 4.04086, -0.180287, 0.000357034, -0.0020023, 0.00185965, 0.0025266, 0.00110909, 0.000885492, 0.00592591, 0.00844863, -0.00347248, -0.00461374, -0.0112224, -0.0157767, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468957, -0.542814, 0.334198, -2.08286, -2.16339, -0.128105, 0, 0, 0, -0.00835117, -0.00566142, -0.00409391
0.0140125, 1.69114, -1.2276, -1.53956, -0.900274, -1.19244, 1.22795, -1.3026, -0.0149968, -0.00329256, -0.00364672, 0.0015564, 0.00113008, -0.00885345, -0.00259759, 0.360787, 63.6325, 31.9953, 7.1048, 2.87311, 4.07748, -0.238881, 0.000328886, -0.00205568, 0.00190001, 0.00260294, 0.00121582, 0.000962546, 0.00703953, 0.0108466, -0.00300047, -0.00755729, -0.00895804, -0.0148943, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468875, -0.542856, 0.334131, -2.08286, -2.16312, -0.128133, 3.52292e-06, 9.08712e-06, 4.70091e-06, -0.0106857, -0.0069225, -0.00372371
0.0150125, 1.69114, -1.2276, -1.53956, -0.900274, -1.19244, 1.22795, -1.3026, -0.0149968, -0.00329256, -0.00364672, 0.0015564, 0.00113008, -0.00885345, -0.00259759, 0.360787, 63.6325, 31.9953, 7.1048, 2.87311, 4.07748, -0.238881, 0.000328863, -0.00205569, 0.00190002, 0.00260293, 0.00121582, 0.000962558, 0.00706817, 0.0108579, -0.00301055, -0.00756979, -0.0089389, -0.014918, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468875, -0.542856, 0.334131, -2.08286, -2.16312, -0.128133, 1.40551e-05, 3.62649e-05, 1.87583e-05, -0.0106857, -0.0069225, -0.00372371
0.0160125, 1.69114, -1.2276, -1.53956, -0.900274, -1.19244, 1.22795, -1.3026, -0.0149968, -0.00329256, -0.00364672, 0.0015564, 0.00113008, -0.00885345, -0.00259759, 0.360787, 63.6325, 31.9953, 7.1048, 2.87311, 4.07748, -0.238881, 0.000328803, -0.00205571, 0.00190004, 0.0026029, 0.00121584, 0.000962591, 0.00711573, 0.0108765, -0.00302729, -0.00759052, -0.00890713, -0.0149574, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468875, -0.542856, 0.334131, -2.08286, -2.16312, -0.128133, 3.15416e-05, 8.14084e-05, 4.21042e-05, -0.0106857, -0.0069225, -0.00372371
0.0170127, 1.69114, -1.2276, -1.53956, -0.900274, -1.19244, 1.22795, -1.3026, -0.0149968, -0.00329256, -0.00364672, 0.0015564, 0.00113008, -0.00885345, -0.00259759, 0.360787, 63.6325, 31.9953, 7.1048, 2.87311, 4.07748, -0.238881, 0.000328686, -0.00205575, 0.00190008, 0.00260284, 0.00121587, 0.000962655, 0.0071821, 0.0109024, -0.00305063, -0.00761941, -0.00886282, -0.0150124, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.468875, -0.542856, 0.334131, -2.08286, -2.16312, -0.128133, 5.59279e-05, 0.000144393, 7.4671e-05, -0.0106857, -0.0069225, -0.00372371
0.0180129, 1.69114, -1.2276, -1.53956, -0.900274, -1.19244, 1.22795, -1.3026, -0.0149968, -0.00329256, -0.00364672, 0.0015564, 0.00113008, -0.00885345, -0.00259759, 0.360787, 63.6325, 31.9953, 7.1048, 2.87311, 4.07748, -0.238881, 0.000328493, -0.00205583, 0.00190015, 0.00260274, 0.00121591, 0.00096276, 0.00726712, 0.0109356, -0.00308053, -0.00765638, -0.00880606, -0.0150828, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129886, 0.468875, -0.542856, 0.334131, -2.08286, -2.16312, -0.128133, 8.71593e-05, 0.000225094, 0.000116391, -0.0106857, -0.0069225, -0.00372371
0.0190134, 1.69114, -1.2276, -1.53956, -0.900274, -1.19244, 1.22795, -1.3026, -0.0149968, -0.00329256, -0.00364672, 0.0015564, 0.00113008, -0.00885345, -0.00259759, 0.360787, 63.6325, 31.9953, 7.1048, 2.87311, 4.07748, -0.238881, 0.000328206, -0.00205594, 0.00190025, 0.0026026, 0.00121598, 0.000962916, 0.00737069, 0.0109761, -0.00311695, -0.00770137, -0.00873694, -0.0151685, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129886, 0.468875, -0.542856, 0.334131, -2.08286, -2.16312, -0.128133, 0.000125182, 0.000323387, 0.000167197, -0.0106857, -0.0069225, -0.00372371
0.0200137, 1.69114, -1.2276, -1.53956, -0.900274, -1.19244, 1.22795, -1.3026, -0.0149968, -0.00329256, -0.00364672, 0.0015564, 0.00113008, -0.00885345, -0.00259759, 0.360787, 63.6325, 31.9953, 7.1048, 2.87311, 4.07748, -0.238881, 0.000327807, -0.0020561, 0.00190039, 0.00260241, 0.00121608, 0.000963134, 0.00749265, 0.0110237, -0.00315982, -0.00775429, -0.00865557, -0.0152693, 0.471008, -0.543388, 0.335894, -2.08385, -2.16584, -0.129886, 0.468875, -0.542856, 0.334131, -2.08286, -2.16312, -0.128133, 0.00016994, 0.000439148, 0.000227022, -0.0106857, -0.0069225, -0.00372371
0.0210139, 1.69114, -1.2276, -1.53956, -0.900274, -1.19244, 1.22795, -1.3026, -0.0149968, -0.00329256, -0.00364672, 0.0015564, 0.00113008, -0.00885345, -0.00259759, 0.360787, 63.6325, 31.9953, 7.1048, 2.87311, 4.07748, -0.238881, 0.000327276, -0.0020563, 0.00190058, 0.00260215, 0.00121621, 0.000963423, 0.00763289, 0.0110785, -0.00320911, -0.00781507, -0.00856203, -0.0153852, 0.471009, -0.543388, 0.335895, -2.08385, -2.16584, -0.129886, 0.468875, -0.542856, 0.334131, -2.08286, -2.16312, -0.128133, 0.000221382, 0.000572255, 0.000295798, -0.0106857, -0.0069225, -0.00372371
0.0220142, 1.69114, -1.2276, -1.53956, -0.900274, -1.19244, 1.22795, -1.3026, -0.0149968, -0.00329256, -0.00364672, 0.0015564, 0.00113008, -0.00885345, -0.00259759, 0.360787, 63.6325, 31.9953, 7.1048, 2.87311, 4.07748, -0.238881, 0.000326597, -0.00205657, 0.00190082, 0.00260182, 0.00121637, 0.000963793, 0.00779127, 0.0111403, -0.00326475, -0.00788363, -0.00845642, -0.015516, 0.471009, -0.543387, 0.335895, -2.08384, -2.16584, -0.129885, 0.468875, -0.542856, 0.334131, -2.08286, -2.16312, -0.128133, 0.000279451, 0.000722584, 0.000373459, -0.0106857, -0.0069225, -0.00372371
