Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
4.88281e-07, 1.69112, -1.22473, -1.53808, -0.900019, -1.19169, 1.22872, -1.30267, 0.00304347, -0.00140815, 0.00971542, -0.00796602, 0.00498551, 0.00134074, 0.00808346, -1.18645, 56.5628, 27.0441, 6.91833, 1.46686, 2.65018, -0.127186, 0.000890253, -0.00169359, -0.000417981, -7.80933e-05, -0.00129465, 0.000227193, -0.00644796, -0.00602729, 0.00146415, 0.00759911, -0.00465535, 0.00827539, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469285, -0.542658, 0.33649, -2.08483, -2.16632, -0.128604, -4.82042e-07, 4.44613e-06, 1.21621e-06, 0.00584132, 0.00639132, 0.00226603
0.0120151, 1.69114, -1.22474, -1.538, -0.900073, -1.19166, 1.22873, -1.30267, -0.00140413, -0.000709476, 0.00989846, -0.00860201, 0.00171073, 0.000795193, 0.00226094, -0.734184, 56.5628, 27.0441, 6.88263, 1.48517, 2.62179, -0.147328, 0.000936882, -0.00164924, -0.000431132, -0.000141342, -0.0012616, 0.00010746, -0.0041664, -0.00322488, 0.00203676, 0.00619995, -0.00163264, 0.00923922, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469343, -0.542598, 0.336515, -2.08469, -2.16649, -0.128753, -1.47349e-06, 1.36697e-05, 3.70923e-06, 0.00314379, 0.00394532, 0.00256429
0.0130151, 1.69114, -1.22474, -1.538, -0.900073, -1.19166, 1.22873, -1.30267, -0.00140413, -0.000709476, 0.00989846, -0.00860201, 0.00171073, 0.000795193, 0.00226094, -0.734184, 56.5628, 27.0441, 6.88263, 1.48517, 2.62179, -0.147328, 0.000936874, -0.00164924, -0.000431131, -0.000141344, -0.0012616, 0.000107461, -0.00415265, -0.00322587, 0.00203532, 0.0062019, -0.00162646, 0.00924037, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469343, -0.542598, 0.336515, -2.08469, -2.16649, -0.128753, -2.9032e-06, 2.69793e-05, 7.30333e-06, 0.00314379, 0.00394532, 0.00256429
0.0140151, 1.69114, -1.22474, -1.538, -0.900073, -1.19166, 1.22873, -1.30267, -0.00140413, -0.000709476, 0.00989846, -0.00860201, 0.00171073, 0.000795193, 0.00226094, -0.734184, 56.5628, 27.0441, 6.88263, 1.48517, 2.62179, -0.147328, 0.000936854, -0.00164924, -0.000431129, -0.000141349, -0.00126161, 0.000107463, -0.00413403, -0.00322722, 0.00203336, 0.00620454, -0.00161809, 0.00924192, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469343, -0.542598, 0.336515, -2.08469, -2.16649, -0.128753, -4.83863e-06, 4.50071e-05, 1.21677e-05, 0.00314379, 0.00394532, 0.00256429
0.0150151, 1.69114, -1.22474, -1.538, -0.900073, -1.19166, 1.22873, -1.30267, -0.00140413, -0.000709476, 0.00989846, -0.00860201, 0.00171073, 0.000795193, 0.00226094, -0.734184, 56.5628, 27.0441, 6.88263, 1.48517, 2.62179, -0.147328, 0.000936815, -0.00164924, -0.000431125, -0.00014136, -0.00126162, 0.000107468, -0.00410994, -0.00322895, 0.00203083, 0.00620796, -0.00160726, 0.00924393, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469343, -0.542598, 0.336515, -2.08469, -2.16649, -0.128753, -7.34058e-06, 6.83239e-05, 1.84546e-05, 0.00314379, 0.00394532, 0.00256429
0.0160151, 1.69114, -1.22474, -1.538, -0.900073, -1.19166, 1.22873, -1.30267, -0.00140413, -0.000709476, 0.00989846, -0.00860201, 0.00171073, 0.000795193, 0.00226094, -0.734184, 56.5628, 27.0441, 6.88263, 1.48517, 2.62179, -0.147328, 0.00093675, -0.00164923, -0.000431118, -0.000141377, -0.00126164, 0.000107475, -0.00407989, -0.00323111, 0.00202768, 0.00621225, -0.00159374, 0.00924644, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469343, -0.542598, 0.336515, -2.08469, -2.16649, -0.128753, -1.04607e-05, 9.7416e-05, 2.62933e-05, 0.00314379, 0.00394532, 0.00256429
0.0170151, 1.69114, -1.22474, -1.538, -0.900073, -1.19166, 1.22873, -1.30267, -0.00140413, -0.000709476, 0.00989846, -0.00860201, 0.00171073, 0.000795193, 0.00226094, -0.734184, 56.5628, 27.0441, 6.88263, 1.48517, 2.62179, -0.147328, 0.000936654, -0.00164923, -0.000431108, -0.000141402, -0.00126168, 0.000107487, -0.00404349, -0.00323373, 0.00202387, 0.00621745, -0.00157734, 0.00924947, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469343, -0.542598, 0.336515, -2.08469, -2.16649, -0.128753, -1.42391e-05, 0.000132663, 3.57838e-05, 0.00314379, 0.00394532, 0.00256429
0.0180151, 1.69114, -1.22474, -1.538, -0.900073, -1.19166, 1.22873, -1.30267, -0.00140413, -0.000709476, 0.00989846, -0.00860201, 0.00171073, 0.000795193, 0.00226094, -0.734184, 56.5628, 27.0441, 6.88263, 1.48517, 2.62179, -0.147328, 0.000936519, -0.00164922, -0.000431093, -0.000141437, -0.00126172, 0.000107503, -0.00400047, -0.00323682, 0.00201937, 0.00622362, -0.00155795, 0.00925306, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469343, -0.542598, 0.336515, -2.08469, -2.16649, -0.128753, -1.87016e-05, 0.000174312, 4.69907e-05, 0.00314379, 0.00394532, 0.00256429
0.0190151, 1.69114, -1.22474, -1.538, -0.900073, -1.19166, 1.22873, -1.30267, -0.00140413, -0.000709476, 0.00989846, -0.00860201, 0.00171073, 0.000795193, 0.00226094, -0.734184, 56.5628, 27.0441, 6.88263, 1.48517, 2.62179, -0.147328, 0.000936341, -0.00164921, -0.000431075, -0.000141483, -0.00126179, 0.000107524, -0.00395075, -0.00324039, 0.00201419, 0.00623077, -0.00153553, 0.00925722, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469343, -0.542598, 0.336515, -2.08469, -2.16649, -0.128753, -2.38577e-05, 0.00022246, 5.99368e-05, 0.00314379, 0.00394532, 0.00256429
0.0200151, 1.69114, -1.22474, -1.538, -0.900073, -1.19166, 1.22873, -1.30267, -0.00140413, -0.000709476, 0.00989846, -0.00860201, 0.00171073, 0.000795193, 0.00226094, -0.734184, 56.5628, 27.0441, 6.88263, 1.48517, 2.62179, -0.147328, 0.000936112, -0.00164919, -0.00043105, -0.000141543, -0.00126186, 0.00010755, -0.00389439, -0.00324443, 0.00200832, 0.00623889, -0.0015101, 0.00926192, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469343, -0.542598, 0.336515, -2.08469, -2.16649, -0.128753, -2.96979e-05, 0.000277024, 7.45974e-05, 0.00314379, 0.00394532, 0.00256429
