Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
2.44141e-07, 1.69136, -1.22494, -1.5377, -0.899801, -1.19174, 1.22828, -1.30261, -0.00286551, 0.0050983, 0.0104051, 0.00301375, 0.00974511, 0.00452647, 0.000903108, -0.43267, 55.0156, 26.0404, 5.98602, 1.47876, 3.22421, -0.140919, 0.0010281, -0.00162089, -0.000403452, -4.78127e-05, -0.000868651, 7.05314e-05, -0.0019206, -0.00137514, 0.0076411, 0.0198666, -0.00165849, 0.00183896, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469364, -0.542504, 0.336486, -2.08438, -2.16626, -0.129009, 1.77043e-06, 3.2e-05, 1.02972e-05, 0.00158227, 0.000808252, 0.00781193
0.0120764, 1.69132, -1.22491, -1.53764, -0.899793, -1.19169, 1.22831, -1.30262, -0.00750712, 0.00272889, 0.0105321, 0.000856584, 0.00349099, 0.000626832, 0.00126954, -0.43267, 55.567, 26.1872, 5.98602, 1.5282, 3.20956, -0.205922, 0.00102957, -0.00162529, -0.000451179, -0.000165439, -0.000870121, 6.78883e-05, 0.000566959, 0.00210014, 0.00589393, 0.013174, -0.000760567, -0.00322255, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469364, -0.542509, 0.336548, -2.08446, -2.16632, -0.12918, 1.77746e-06, 6.40623e-05, 1.89552e-05, -0.00186263, -0.00148874, 0.00581406
0.0130764, 1.69132, -1.22491, -1.53764, -0.899793, -1.19169, 1.22831, -1.30262, -0.00750712, 0.00272889, 0.0105321, 0.000856584, 0.00349099, 0.000626832, 0.00126954, -0.43267, 55.567, 26.1872, 5.98602, 1.5282, 3.20956, -0.205922, 0.00102956, -0.00162529, -0.000451178, -0.000165442, -0.000870124, 6.78902e-05, 0.000603215, 0.00210129, 0.00588997, 0.0131786, -0.000734028, -0.00321991, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469364, -0.542509, 0.336548, -2.08446, -2.16632, -0.12918, 1.77167e-06, 9.92934e-05, 2.84561e-05, -0.00186263, -0.00148874, 0.00581406
0.0140764, 1.69132, -1.22491, -1.53764, -0.899793, -1.19169, 1.22831, -1.30262, -0.00750712, 0.00272889, 0.0105321, 0.000856584, 0.00349099, 0.000626832, 0.00126954, -0.43267, 55.567, 26.1872, 5.98602, 1.5282, 3.20956, -0.205922, 0.00102954, -0.00162529, -0.000451176, -0.000165451, -0.000870134, 6.78951e-05, 0.000642859, 0.00210253, 0.00588566, 0.0131837, -0.000705022, -0.00321702, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469364, -0.542509, 0.336548, -2.08446, -2.16632, -0.12918, 1.75167e-06, 0.000137819, 3.88327e-05, -0.00186263, -0.00148874, 0.00581406
0.0150764, 1.69132, -1.22491, -1.53764, -0.899793, -1.19169, 1.22831, -1.30262, -0.00750712, 0.00272889, 0.0105321, 0.000856584, 0.00349099, 0.000626832, 0.00126954, -0.43267, 55.567, 26.1872, 5.98602, 1.5282, 3.20956, -0.205922, 0.00102951, -0.00162529, -0.000451172, -0.000165466, -0.000870153, 6.79048e-05, 0.00068602, 0.00210387, 0.00588097, 0.0131893, -0.000673459, -0.00321387, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469364, -0.542509, 0.336548, -2.08446, -2.16632, -0.12918, 1.716e-06, 0.000179762, 5.01169e-05, -0.00186263, -0.00148874, 0.00581406
0.0160764, 1.69132, -1.22491, -1.53764, -0.899793, -1.19169, 1.22831, -1.30262, -0.00750712, 0.00272889, 0.0105321, 0.000856584, 0.00349099, 0.000626832, 0.00126954, -0.43267, 55.567, 26.1872, 5.98602, 1.5282, 3.20956, -0.205922, 0.00102944, -0.00162529, -0.000451165, -0.000165492, -0.000870185, 6.79207e-05, 0.000732824, 0.00210531, 0.0058759, 0.0131954, -0.000639245, -0.00321045, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469364, -0.542509, 0.336548, -2.08446, -2.16632, -0.12918, 1.66317e-06, 0.000225248, 6.23407e-05, -0.00186263, -0.00148874, 0.00581406
0.0170764, 1.69132, -1.22491, -1.53764, -0.899793, -1.19169, 1.22831, -1.30262, -0.00750712, 0.00272889, 0.0105321, 0.000856584, 0.00349099, 0.000626832, 0.00126954, -0.43267, 55.567, 26.1872, 5.98602, 1.5282, 3.20956, -0.205922, 0.00102935, -0.0016253, -0.000451154, -0.000165531, -0.000870231, 6.79444e-05, 0.000783396, 0.00210686, 0.00587044, 0.013202, -0.000602292, -0.00320675, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469364, -0.542509, 0.336548, -2.08446, -2.16632, -0.12918, 1.59159e-06, 0.000274397, 7.55354e-05, -0.00186263, -0.00148874, 0.00581406
0.0180764, 1.69132, -1.22491, -1.53764, -0.899793, -1.19169, 1.22831, -1.30262, -0.00750712, 0.00272889, 0.0105321, 0.000856584, 0.00349099, 0.000626832, 0.00126954, -0.43267, 55.567, 26.1872, 5.98602, 1.5282, 3.20956, -0.205922, 0.00102921, -0.0016253, -0.000451139, -0.000165584, -0.000870297, 6.79773e-05, 0.000837859, 0.0021085, 0.00586457, 0.0132091, -0.000562511, -0.00320277, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469364, -0.542509, 0.336548, -2.08446, -2.16632, -0.12918, 1.49965e-06, 0.00032733, 8.9732e-05, -0.00186263, -0.00148874, 0.00581406
0.0190764, 1.69132, -1.22491, -1.53764, -0.899793, -1.19169, 1.22831, -1.30262, -0.00750712, 0.00272889, 0.0105321, 0.000856584, 0.00349099, 0.000626832, 0.00126954, -0.43267, 55.567, 26.1872, 5.98602, 1.5282, 3.20956, -0.205922, 0.00102903, -0.00162531, -0.00045112, -0.000165656, -0.000870383, 6.80211e-05, 0.000896336, 0.00211025, 0.00585829, 0.0132168, -0.000519814, -0.00319849, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469364, -0.542509, 0.336548, -2.08446, -2.16632, -0.12918, 1.38564e-06, 0.000384166, 0.000104961, -0.00186263, -0.00148874, 0.00581406
0.0200764, 1.69132, -1.22491, -1.53764, -0.899793, -1.19169, 1.22831, -1.30262, -0.00750712, 0.00272889, 0.0105321, 0.000856584, 0.00349099, 0.000626832, 0.00126954, -0.43267, 55.567, 26.1872, 5.98602, 1.5282, 3.20956, -0.205922, 0.00102881, -0.00162531, -0.000451095, -0.000165747, -0.000870495, 6.80771e-05, 0.000958947, 0.00211212, 0.00585157, 0.0132251, -0.000474115, -0.0031939, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469364, -0.542509, 0.336548, -2.08446, -2.16632, -0.12918, 1.24785e-06, 0.00044502, 0.000121252, -0.00186263, -0.00148874, 0.00581406
