Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
1.70898e-06, 1.69144, -1.22473, -1.53822, -0.89995, -1.1917, 1.22859, -1.30263, 0.00288893, -0.00715169, 0.00320465, 0.004957, 0.000853909, 0.00111007, 0.00112631, -0.884941, 56.4874, 27.417, 6.47003, 1.77356, 2.81589, -0.160145, 0.000997068, -0.00157547, -0.000347169, 0.000184622, -0.00124958, 8.08332e-05, 0.00018773, -0.00151913, -0.00241977, 0.00547227, -0.00777952, -0.000614237, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.46941, -0.542522, 0.336435, -2.08447, -2.16638, -0.128394, -1.48327e-05, 4.00419e-05, -1.29039e-06, 0.0014217, 0.000289295, -0.00246554
0.0123372, 1.69144, -1.22475, -1.53813, -0.899946, -1.19169, 1.22861, -1.30263, -0.00202159, -0.00241378, 0.00373814, 0.00193647, 0.00139992, -0.000146244, -0.000499961, -0.809562, 56.5231, 27.417, 6.39465, 1.71863, 2.82962, -0.160145, 0.00100945, -0.00156089, -0.000367399, 8.78727e-05, -0.00121833, 4.39452e-05, 0.000708691, 0.000713415, 0.000281624, 0.00481475, -0.00400076, -0.000809542, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469426, -0.542513, 0.33646, -2.08448, -2.16645, -0.128549, -2.49008e-05, 7.8927e-05, 1.60533e-06, -0.000701889, -0.00069325, 0.000191199
0.0133372, 1.69144, -1.22475, -1.53813, -0.899946, -1.19169, 1.22861, -1.30263, -0.00202159, -0.00241378, 0.00373814, 0.00193647, 0.00139992, -0.000146244, -0.000499961, -0.809562, 56.5231, 27.417, 6.39465, 1.71863, 2.82962, -0.160145, 0.00100945, -0.00156088, -0.0003674, 8.78706e-05, -0.00121833, 4.39492e-05, 0.000751758, 0.000704053, 0.000285423, 0.0048148, -0.00395266, -0.000778759, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469426, -0.542513, 0.33646, -2.08448, -2.16645, -0.128549, -3.59273e-05, 0.000121646, 4.81928e-06, -0.000701889, -0.00069325, 0.000191199
0.0143372, 1.69144, -1.22475, -1.53813, -0.899946, -1.19169, 1.22861, -1.30263, -0.00202159, -0.00241378, 0.00373814, 0.00193647, 0.00139992, -0.000146244, -0.000499961, -0.809562, 56.5231, 27.417, 6.39465, 1.71863, 2.82962, -0.160145, 0.00100942, -0.00156088, -0.000367402, 8.78648e-05, -0.00121836, 4.39599e-05, 0.000798846, 0.000693852, 0.000289543, 0.00481493, -0.00390013, -0.000745177, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469426, -0.542513, 0.33646, -2.08448, -2.16645, -0.128549, -4.79476e-05, 0.000168349, 8.36616e-06, -0.000701889, -0.00069325, 0.000191199
0.0153372, 1.69144, -1.22475, -1.53813, -0.899946, -1.19169, 1.22861, -1.30263, -0.00202159, -0.00241378, 0.00373814, 0.00193647, 0.00139992, -0.000146244, -0.000499961, -0.809562, 56.5231, 27.417, 6.39465, 1.71863, 2.82962, -0.160145, 0.00100938, -0.00156087, -0.000367406, 8.78535e-05, -0.0012184, 4.39807e-05, 0.000850106, 0.000682782, 0.000293993, 0.00481514, -0.00384301, -0.000708696, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469426, -0.542513, 0.33646, -2.08448, -2.16645, -0.128549, -6.09969e-05, 0.000219187, 1.22607e-05, -0.000701889, -0.00069325, 0.000191199
0.0163372, 1.69144, -1.22475, -1.53813, -0.899946, -1.19169, 1.22861, -1.30263, -0.00202159, -0.00241378, 0.00373814, 0.00193647, 0.00139992, -0.000146244, -0.000499961, -0.809562, 56.5231, 27.417, 6.39465, 1.71863, 2.82962, -0.160145, 0.0010093, -0.00156085, -0.000367412, 8.78349e-05, -0.00121847, 4.40149e-05, 0.000905688, 0.000670814, 0.000298783, 0.00481544, -0.00378113, -0.000669217, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469426, -0.542513, 0.33646, -2.08448, -2.16645, -0.128549, -7.51097e-05, 0.000274308, 1.65177e-05, -0.000701889, -0.00069325, 0.000191199
0.0173372, 1.69144, -1.22475, -1.53813, -0.899946, -1.19169, 1.22861, -1.30263, -0.00202159, -0.00241378, 0.00373814, 0.00193647, 0.00139992, -0.000146244, -0.000499961, -0.809562, 56.5231, 27.417, 6.39465, 1.71863, 2.82962, -0.160145, 0.00100918, -0.00156083, -0.000367422, 8.78071e-05, -0.00121858, 4.40659e-05, 0.000965742, 0.00065792, 0.000303922, 0.00481585, -0.00371432, -0.000626643, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469426, -0.542513, 0.33646, -2.08448, -2.16645, -0.128549, -9.03198e-05, 0.000333859, 2.1152e-05, -0.000701889, -0.00069325, 0.000191199
0.0183372, 1.69144, -1.22475, -1.53813, -0.899946, -1.19169, 1.22861, -1.30263, -0.00202159, -0.00241378, 0.00373814, 0.00193647, 0.00139992, -0.000146244, -0.000499961, -0.809562, 56.5231, 27.417, 6.39465, 1.71863, 2.82962, -0.160145, 0.00100903, -0.00156079, -0.000367436, 8.77683e-05, -0.00121873, 4.41367e-05, 0.00103041, 0.000644073, 0.000309419, 0.00481637, -0.00364245, -0.000580877, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469426, -0.542513, 0.33646, -2.08448, -2.16645, -0.128549, -0.000106661, 0.000397984, 2.61782e-05, -0.000701889, -0.00069325, 0.000191199
0.0193374, 1.69144, -1.22475, -1.53813, -0.899946, -1.19169, 1.22861, -1.30263, -0.00202159, -0.00241378, 0.00373814, 0.00193647, 0.00139992, -0.000146244, -0.000499961, -0.809562, 56.5231, 27.417, 6.39465, 1.71863, 2.82962, -0.160145, 0.00100882, -0.00156075, -0.000367455, 8.77167e-05, -0.00121893, 4.42308e-05, 0.00109984, 0.000629244, 0.000315282, 0.004817, -0.00356534, -0.000531826, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469426, -0.542513, 0.33646, -2.08448, -2.16645, -0.128549, -0.000124165, 0.000466826, 3.16113e-05, -0.000701889, -0.00069325, 0.000191199
0.0203374, 1.69144, -1.22475, -1.53813, -0.899946, -1.19169, 1.22861, -1.30263, -0.00202159, -0.00241378, 0.00373814, 0.00193647, 0.00139992, -0.000146244, -0.000499961, -0.809562, 56.5231, 27.417, 6.39465, 1.71863, 2.82962, -0.160145, 0.00100854, -0.00156069, -0.000367478, 8.76504e-05, -0.00121919, 4.43513e-05, 0.00117418, 0.000613407, 0.00032152, 0.00481777, -0.00348286, -0.000479397, 0.471008, -0.543388, 0.335894, -2.08385, -2.16584, -0.129887, 0.469426, -0.542513, 0.33646, -2.08448, -2.16645, -0.128549, -0.000142864, 0.000540525, 3.74658e-05, -0.000701889, -0.00069325, 0.000191199
