Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
7.32422e-07, 1.69129, -1.22552, -1.53798, -0.89989, -1.19212, 1.22836, -1.30265, -0.00320349, 0.000740525, -0.00303899, 0.00415347, 0.00198971, -0.00384197, -0.00208867, 0.245735, 57.3721, 27.79, 6.32324, 2.30182, 3.40365, -0.101552, 0.000828343, -0.0017069, 3.25843e-05, 0.000387141, -0.000672929, 0.000276446, 0.00242216, 0.00375162, -0.000235329, -0.00253425, -0.00305896, -0.0055197, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469279, -0.542637, 0.336045, -2.08429, -2.1658, -0.128761, 0, 0, 0, -0.00366866, -0.0025085, -0.000495232
0.0121123, 1.69126, -1.22552, -1.53798, -0.899883, -1.1921, 1.22832, -1.30266, -0.00139194, -0.000800465, -0.00034231, 0.00146311, 0.00216382, -0.00267312, -0.00197179, 0.0196001, 57.4475, 27.7503, 6.35895, 2.22858, 3.44668, -0.0951428, 0.000817455, -0.00173398, 3.72554e-05, 0.000406202, -0.000629534, 0.00030318, 0.000502253, 0.00140242, -0.000553854, -0.000774012, -0.00403438, -0.000116186, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469246, -0.542648, 0.336036, -2.08428, -2.16571, -0.128766, 3.52292e-06, 9.08712e-06, 4.70091e-06, -0.00139912, -0.000458879, -0.000577878
0.0131123, 1.69126, -1.22552, -1.53798, -0.899883, -1.1921, 1.22832, -1.30266, -0.00139194, -0.000800465, -0.00034231, 0.00146311, 0.00216382, -0.00267312, -0.00197179, 0.0196001, 57.4475, 27.7503, 6.35895, 2.22858, 3.44668, -0.0951428, 0.000817433, -0.00173399, 3.72633e-05, 0.000406191, -0.000629528, 0.000303192, 0.000530889, 0.00141363, -0.000563932, -0.000786534, -0.00401523, -0.000139895, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469246, -0.542648, 0.336036, -2.08428, -2.16571, -0.128766, 1.40551e-05, 3.62649e-05, 1.87583e-05, -0.00139912, -0.000458879, -0.000577878
0.0141123, 1.69126, -1.22552, -1.53798, -0.899883, -1.1921, 1.22832, -1.30266, -0.00139194, -0.000800465, -0.00034231, 0.00146311, 0.00216382, -0.00267312, -0.00197179, 0.0196001, 57.4475, 27.7503, 6.35895, 2.22858, 3.44668, -0.0951428, 0.000817372, -0.00173401, 3.72846e-05, 0.000406161, -0.000629514, 0.000303225, 0.000578454, 0.00143224, -0.000580667, -0.00080731, -0.00398342, -0.000179255, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469246, -0.542648, 0.336036, -2.08428, -2.16571, -0.128766, 3.15416e-05, 8.14084e-05, 4.21042e-05, -0.00139912, -0.000458879, -0.000577878
0.0151123, 1.69126, -1.22552, -1.53798, -0.899883, -1.1921, 1.22832, -1.30266, -0.00139194, -0.000800465, -0.00034231, 0.00146311, 0.00216382, -0.00267312, -0.00197179, 0.0196001, 57.4475, 27.7503, 6.35895, 2.22858, 3.44668, -0.0951428, 0.000817255, -0.00173406, 3.7326e-05, 0.000406104, -0.000629486, 0.000303289, 0.000644816, 0.00145819, -0.000604011, -0.000836266, -0.00393906, -0.000234142, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469246, -0.542648, 0.336036, -2.08428, -2.16571, -0.128766, 5.59279e-05, 0.000144393, 7.4671e-05, -0.00139912, -0.000458879, -0.000577878
0.0161123, 1.69126, -1.22552, -1.53798, -0.899883, -1.1921, 1.22832, -1.30266, -0.00139194, -0.000800465, -0.00034231, 0.00146311, 0.00216382, -0.00267312, -0.00197179, 0.0196001, 57.4475, 27.7503, 6.35895, 2.22858, 3.44668, -0.0951428, 0.000817062, -0.00173413, 3.7394e-05, 0.00040601, -0.00062944, 0.000303394, 0.000729845, 0.00149142, -0.000633912, -0.000873325, -0.00388223, -0.000304429, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129886, 0.469246, -0.542648, 0.336036, -2.08428, -2.16571, -0.128766, 8.71593e-05, 0.000225094, 0.000116391, -0.00139912, -0.000458879, -0.000577878
0.0171123, 1.69126, -1.22552, -1.53798, -0.899883, -1.1921, 1.22832, -1.30266, -0.00139194, -0.000800465, -0.00034231, 0.00146311, 0.00216382, -0.00267312, -0.00197179, 0.0196001, 57.4475, 27.7503, 6.35895, 2.22858, 3.44668, -0.0951428, 0.000816775, -0.00173425, 3.74953e-05, 0.000405869, -0.000629371, 0.000303551, 0.000833408, 0.00153189, -0.000670323, -0.000918412, -0.00381303, -0.000389993, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129886, 0.469246, -0.542648, 0.336036, -2.08428, -2.16571, -0.128766, 0.000125182, 0.000323387, 0.000167197, -0.00139912, -0.000458879, -0.000577878
0.0181123, 1.69126, -1.22552, -1.53798, -0.899883, -1.1921, 1.22832, -1.30266, -0.00139194, -0.000800465, -0.00034231, 0.00146311, 0.00216382, -0.00267312, -0.00197179, 0.0196001, 57.4475, 27.7503, 6.35895, 2.22858, 3.44668, -0.0951428, 0.000816375, -0.0017344, 3.76363e-05, 0.000405673, -0.000629276, 0.000303769, 0.000955376, 0.00157952, -0.000713194, -0.000971452, -0.00373156, -0.000490708, 0.471008, -0.543388, 0.335894, -2.08385, -2.16584, -0.129886, 0.469246, -0.542648, 0.336036, -2.08428, -2.16571, -0.128766, 0.00016994, 0.000439148, 0.000227022, -0.00139912, -0.000458879, -0.000577878
0.0191125, 1.69126, -1.22552, -1.53798, -0.899883, -1.1921, 1.22832, -1.30266, -0.00139194, -0.000800465, -0.00034231, 0.00146311, 0.00216382, -0.00267312, -0.00197179, 0.0196001, 57.4475, 27.7503, 6.35895, 2.22858, 3.44668, -0.0951428, 0.000815844, -0.00173461, 3.78235e-05, 0.000405414, -0.000629149, 0.000304058, 0.00109562, 0.00163427, -0.000762476, -0.00103237, -0.00363791, -0.00060645, 0.471009, -0.543388, 0.335895, -2.08385, -2.16584, -0.129886, 0.469246, -0.542648, 0.336036, -2.08428, -2.16571, -0.128766, 0.000221382, 0.000572255, 0.000295798, -0.00139912, -0.000458879, -0.000577878
0.0201125, 1.69126, -1.22552, -1.53798, -0.899883, -1.1921, 1.22832, -1.30266, -0.00139194, -0.000800465, -0.00034231, 0.00146311, 0.00216382, -0.00267312, -0.00197179, 0.0196001, 57.4475, 27.7503, 6.35895, 2.22858, 3.44668, -0.0951428, 0.000815164, -0.00173488, 3.80632e-05, 0.000405081, -0.000628987, 0.000304429, 0.001254, 0.00169607, -0.000818119, -0.00110109, -0.00353218, -0.000737097, 0.471009, -0.543387, 0.335895, -2.08384, -2.16584, -0.129885, 0.469246, -0.542648, 0.336036, -2.08428, -2.16571, -0.128766, 0.000279451, 0.000722584, 0.000373459, -0.00139912, -0.000458879, -0.000577878
