Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
4.88281e-07, 1.6915, -1.22454, -1.53804, -0.89997, -1.19186, 1.22875, -1.3027, -0.00530013, -0.00163923, 0.000676574, 0.00569952, 0.000868083, -6.2019e-05, -0.00109861, 0.0196001, 56.0828, 27.7503, 6.28357, 2.16083, 2.75821, -0.0750012, 0.00103639, -0.00150061, -0.000530291, -3.1876e-05, -0.00163624, -9.8491e-05, 0.0038802, 0.00401166, 0.000344109, 0.00433715, -0.0030792, -0.00847561, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469499, -0.542501, 0.336624, -2.08458, -2.1669, -0.128256, 0, 0, 0, -0.00385532, -0.00404775, -0.000141525
0.0121152, 1.69148, -1.22456, -1.53804, -0.899924, -1.19186, 1.22875, -1.3027, -0.00383505, -0.00287552, 0.00566289, 0.00428468, 0.000440862, -0.00247067, 0.001767, -0.317619, 56.1938, 27.6749, 6.35895, 2.13611, 2.75088, -0.127186, 0.0010076, -0.00152558, -0.000526108, -5.43637e-05, -0.00161768, -2.15572e-05, 0.00173097, 0.00246771, 0.000895124, 0.00539605, -0.00529997, -0.00638383, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469467, -0.542538, 0.336616, -2.08469, -2.1668, -0.128308, 3.52292e-06, 9.08712e-06, 4.70091e-06, -0.0023668, -0.00193851, 0.000694288
0.0131152, 1.69148, -1.22456, -1.53804, -0.899924, -1.19186, 1.22875, -1.3027, -0.00383505, -0.00287552, 0.00566289, 0.00428468, 0.000440862, -0.00247067, 0.001767, -0.317619, 56.1938, 27.6749, 6.35895, 2.13611, 2.75088, -0.127186, 0.00100757, -0.00152559, -0.0005261, -5.43746e-05, -0.00161767, -2.15451e-05, 0.00175961, 0.00247892, 0.000885046, 0.00538352, -0.00528081, -0.00640752, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469467, -0.542538, 0.336616, -2.08469, -2.1668, -0.128308, 1.40551e-05, 3.62649e-05, 1.87583e-05, -0.0023668, -0.00193851, 0.000694288
0.0141152, 1.69148, -1.22456, -1.53804, -0.899924, -1.19186, 1.22875, -1.3027, -0.00383505, -0.00287552, 0.00566289, 0.00428468, 0.000440862, -0.00247067, 0.001767, -0.317619, 56.1938, 27.6749, 6.35895, 2.13611, 2.75088, -0.127186, 0.00100751, -0.00152561, -0.000526079, -5.44041e-05, -0.00161766, -2.15121e-05, 0.00180717, 0.00249752, 0.000868311, 0.00536272, -0.005249, -0.00644687, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469467, -0.542538, 0.336616, -2.08469, -2.1668, -0.128308, 3.15416e-05, 8.14084e-05, 4.21042e-05, -0.0023668, -0.00193851, 0.000694288
0.0151152, 1.69148, -1.22456, -1.53804, -0.899924, -1.19186, 1.22875, -1.3027, -0.00383505, -0.00287552, 0.00566289, 0.00428468, 0.000440862, -0.00247067, 0.001767, -0.317619, 56.1938, 27.6749, 6.35895, 2.13611, 2.75088, -0.127186, 0.0010074, -0.00152566, -0.000526037, -5.44615e-05, -0.00161763, -2.1448e-05, 0.00187353, 0.00252348, 0.000844968, 0.00533373, -0.00520462, -0.00650173, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469467, -0.542538, 0.336616, -2.08469, -2.1668, -0.128308, 5.59279e-05, 0.000144393, 7.4671e-05, -0.0023668, -0.00193851, 0.000694288
0.0161152, 1.69148, -1.22456, -1.53804, -0.899924, -1.19186, 1.22875, -1.3027, -0.00383505, -0.00287552, 0.00566289, 0.00428468, 0.000440862, -0.00247067, 0.001767, -0.317619, 56.1938, 27.6749, 6.35895, 2.13611, 2.75088, -0.127186, 0.0010072, -0.00152573, -0.000525969, -5.45558e-05, -0.00161758, -2.13426e-05, 0.00195856, 0.00255671, 0.000815066, 0.00529662, -0.00514779, -0.00657199, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129886, 0.469467, -0.542538, 0.336616, -2.08469, -2.1668, -0.128308, 8.71593e-05, 0.000225094, 0.000116391, -0.0023668, -0.00193851, 0.000694288
0.0171152, 1.69148, -1.22456, -1.53804, -0.899924, -1.19186, 1.22875, -1.3027, -0.00383505, -0.00287552, 0.00566289, 0.00428468, 0.000440862, -0.00247067, 0.001767, -0.317619, 56.1938, 27.6749, 6.35895, 2.13611, 2.75088, -0.127186, 0.00100691, -0.00152585, -0.000525868, -5.46962e-05, -0.00161751, -2.11859e-05, 0.00206213, 0.00259717, 0.000778655, 0.00525148, -0.00507858, -0.00665751, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129886, 0.469467, -0.542538, 0.336616, -2.08469, -2.1668, -0.128308, 0.000125182, 0.000323387, 0.000167197, -0.0023668, -0.00193851, 0.000694288
0.0181157, 1.69148, -1.22456, -1.53804, -0.899924, -1.19186, 1.22875, -1.3027, -0.00383505, -0.00287552, 0.00566289, 0.00428468, 0.000440862, -0.00247067, 0.001767, -0.317619, 56.1938, 27.6749, 6.35895, 2.13611, 2.75088, -0.127186, 0.00100651, -0.001526, -0.000525727, -5.48917e-05, -0.00161742, -2.09678e-05, 0.00218409, 0.00264481, 0.000735783, 0.00519838, -0.00499709, -0.00675818, 0.471008, -0.543388, 0.335894, -2.08385, -2.16584, -0.129886, 0.469467, -0.542538, 0.336616, -2.08469, -2.1668, -0.128308, 0.00016994, 0.000439148, 0.000227022, -0.0023668, -0.00193851, 0.000694288
0.0191157, 1.69148, -1.22456, -1.53804, -0.899924, -1.19186, 1.22875, -1.3027, -0.00383505, -0.00287552, 0.00566289, 0.00428468, 0.000440862, -0.00247067, 0.001767, -0.317619, 56.1938, 27.6749, 6.35895, 2.13611, 2.75088, -0.127186, 0.00100598, -0.00152621, -0.00052554, -5.51512e-05, -0.00161729, -2.06783e-05, 0.00232433, 0.00269956, 0.000686501, 0.00513739, -0.00490343, -0.00687387, 0.471009, -0.543388, 0.335895, -2.08385, -2.16584, -0.129886, 0.469467, -0.542538, 0.336616, -2.08469, -2.1668, -0.128308, 0.000221382, 0.000572255, 0.000295798, -0.0023668, -0.00193851, 0.000694288
0.0201157, 1.69148, -1.22456, -1.53804, -0.899924, -1.19186, 1.22875, -1.3027, -0.00383505, -0.00287552, 0.00566289, 0.00428468, 0.000440862, -0.00247067, 0.001767, -0.317619, 56.1938, 27.6749, 6.35895, 2.13611, 2.75088, -0.127186, 0.0010053, -0.00152647, -0.000525301, -5.54837e-05, -0.00161713, -2.03076e-05, 0.00248272, 0.00276136, 0.000630857, 0.00506859, -0.00479768, -0.00700446, 0.471009, -0.543387, 0.335895, -2.08384, -2.16584, -0.129885, 0.469467, -0.542538, 0.336616, -2.08469, -2.1668, -0.128308, 0.000279451, 0.000722584, 0.000373459, -0.0023668, -0.00193851, 0.000694288
0.0211157, 1.69144, -1.22456, -1.53804, -0.899924, -1.19185, 1.22875, -1.3027, -0.00543437, 0.000691535, 0.000655665, -0.00194347, -2.16138e-05, -0.001707, -0.0017363, -0.734184, 56.1581, 27.6392, 6.39465, 2.10498, 2.74356, -0.0621838, 0.000989824, -0.0015459, -0.000527039, -6.81101e-05, -0.00160871, 5.63445e-06, 0.00239864, 0.003193, 0.000173915, -0.00135956, 0.000453979, -0.00240835, 0.471009, -0.543386, 0.335895, -2.08384, -2.16584, -0.129884, 0.469449, -0.542554, 0.336616, -2.08472, -2.16677, -0.128327, 0.000344096, 0.000890012, 0.000459939, -0.00275273, -0.00163541, 0.000355629
0.0221157, 1.69143, -1.22457, -1.53803, -0.899924, -1.19185, 1.22875, -1.3027, -0.00657618, -0.00121933, 0.00222912, -0.00145769, 0.0011043, -0.00129599, 0.0010126, -0.76989, 56.2296, 27.5638, 6.39465, 2.07477, 2.74356, -0.120778, 0.000988407, -0.00154688, -0.000524962, -7.58941e-05, -0.00159798, 1.20691e-05, 0.00291831, 0.00350476, -0.000294986, 0.00106316, -0.00221781, -0.00569959, 0.47101, -0.543385, 0.335896, -2.08384, -2.16584, -0.129884, 0.469448, -0.542554, 0.336614, -2.08472, -2.16676, -0.128345, 0.000415261, 0.00107442, 0.00055517, -0.00299126, -0.00190463, -8.33986e-05
0.0231157, 1.69143, -1.22457, -1.53804, -0.899924, -1.19185, 1.22875, -1.3027, -0.00728211, -0.0013861, -0.00249982, -0.00109332, 0.00121071, -0.00152502, -0.0020037, -0.809562, 56.1185, 27.6035, 6.39465, 2.06195, 2.75821, -0.0484509, 0.000983934, -0.00155056, -0.000519714, -6.4816e-05, -0.00159752, 1.191e-05, 0.0045108, 0.00492239, -0.00207508, -0.00304342, -0.00219043, -0.00611555, 0.47101, -0.543384, 0.335896, -2.08384, -2.16585, -0.129883, 0.469445, -0.542556, 0.336609, -2.08472, -2.16676, -0.128333, 0.000492895, 0.00127568, 0.000659086, -0.00433674, -0.00305956, -0.00194161
0.0241157, 1.69143, -1.22457, -1.53804, -0.899928, -1.19185, 1.22875, -1.3027, -0.00568648, -0.000214916, -0.00287437, -0.000820029, -0.000687061, 0.00201258, -0.0013358, -0.809562, 55.936, 27.3774, 6.39465, 1.97681, 2.80124, -0.0484509, 0.000983586, -0.00154993, -0.000517901, -6.80252e-05, -0.00159343, 8.37264e-06, 0.00482205, 0.00383163, -0.00133432, -0.00129699, 0.00248125, -0.00647155, 0.471011, -0.543383, 0.335897, -2.08384, -2.16585, -0.129882, 0.469446, -0.542555, 0.336608, -2.08471, -2.16676, -0.12834, 0.000576942, 0.00149367, 0.000771622, -0.00312547, -0.00321823, -0.0011788
0.0251157, 1.69143, -1.22457, -1.53805, -0.899934, -1.19185, 1.22875, -1.3027, -0.00617803, 0.00374226, -0.00705275, -0.00371215, 0.00190113, -0.000705866, 9.28051e-05, -0.734184, 55.7495, 27.306, 6.39465, 1.90265, 2.86532, -0.0750012, 0.000978641, -0.00155514, -0.000513169, -5.46138e-05, -0.00159523, 2.24003e-05, 0.00412914, 0.00456922, -0.00119544, -0.00718288, 0.00363472, -0.00727482, 0.471011, -0.543381, 0.335898, -2.08384, -2.16585, -0.129881, 0.469442, -0.542558, 0.336603, -2.08472, -2.16674, -0.12832, 0.00066735, 0.00172827, 0.000892711, -0.00379145, -0.00235112, -0.00079081
0.0261157, 1.69143, -1.22458, -1.53806, -0.89994, -1.19186, 1.22875, -1.3027, -0.00148931, 0.0012097, -0.00526418, -0.00594587, -0.000987171, -0.00181977, -0.00115884, -0.734184, 55.7892, 27.1552, 6.39465, 1.82941, 2.90835, -0.0420422, 0.000977582, -0.00155361, -0.000505449, -4.44742e-05, -0.00159283, 1.56351e-05, 0.00197497, 0.00171113, -0.00279645, -0.0100473, 0.00332364, 0.000279692, 0.471012, -0.543379, 0.335899, -2.08384, -2.16585, -0.129879, 0.469444, -0.542556, 0.336597, -2.0847, -2.16674, -0.128311, 0.000764066, 0.00197936, 0.00102229, -0.000975174, 0.000390002, -0.00199393
0.0271157, 1.69143, -1.22458, -1.53807, -0.899942, -1.19186, 1.22876, -1.30269, 0.000187391, 0.000138868, -0.00454025, -0.00672373, -0.00477495, -0.00102981, 0.000210786, -0.658806, 55.936, 27.1552, 6.35895, 1.79828, 2.90835, -0.0685925, 0.000969387, -0.00155681, -0.000497214, -3.6044e-05, -0.0015979, 3.26929e-05, 0.00206497, 0.000841702, -0.00339316, -0.0113308, 0.00600856, 0.000111314, 0.471013, -0.543377, 0.3359, -2.08384, -2.16585, -0.129878, 0.469441, -0.542561, 0.336588, -2.08472, -2.16673, -0.128293, 0.000867038, 0.00224682, 0.00116028, -2.22263e-05, 0.000696021, -0.0024853
0.0281157, 1.69143, -1.22458, -1.53808, -0.899947, -1.19187, 1.22876, -1.3027, 0.00171433, 0.001691, -0.00605481, -0.00821438, -0.00334937, -0.000277739, -0.00108018, -0.583427, 56.0074, 27.1195, 6.35895, 1.77997, 2.90103, -0.0356336, 0.000965438, -0.00155787, -0.00049421, -2.84663e-05, -0.00160741, 3.22779e-05, 0.00120771, -0.00023556, -0.00334536, -0.0122828, 0.00723374, 0.00369097, 0.471014, -0.543375, 0.335901, -2.08384, -2.16585, -0.129876, 0.469441, -0.542562, 0.336586, -2.08472, -2.16673, -0.128273, 0.000976211, 0.00253053, 0.00130664, 0.00113388, 0.00186277, -0.00219117
