Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
9.76563e-07, 1.69114, -1.22551, -1.53773, -0.899964, -1.19189, 1.22848, -1.30265, -0.00519808, -0.00133184, -0.00383509, 0.00305336, -0.00106667, 0.00108215, -0.00152473, -0.76989, 57.7768, 27.4885, 6.80725, 1.90906, 3.06674, -0.133595, 0.000867349, -0.00168602, -6.86978e-05, -3.16242e-05, -0.000535932, 0.000162072, 0.00436306, 0.00415467, -0.00129687, -0.000728485, -0.000100391, -0.00855167, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.46929, -0.542616, 0.336152, -2.08432, -2.16598, -0.129373, -1.41255e-05, -9.11997e-05, -6.59526e-05, -0.00405424, -0.00436892, -0.00189845
0.0120857, 1.69114, -1.22554, -1.53777, -0.899992, -1.1919, 1.22848, -1.30266, -0.00271381, -0.00195091, -0.00356792, 0.00019701, -0.00105351, 0.00148584, 0.00130047, -0.392998, 57.8879, 27.417, 6.65649, 1.93927, 3.01639, -0.140919, 0.000859531, -0.00168805, -3.28254e-05, 1.88113e-05, -0.000524089, 0.000159938, 0.00240617, 0.00198109, -0.00202813, -0.00190735, -0.000210387, -0.00633583, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469293, -0.542615, 0.33611, -2.08428, -2.16596, -0.129318, -2.13283e-05, -0.000136675, -0.000102379, -0.00198703, -0.00228101, -0.00241873
0.0130857, 1.69114, -1.22554, -1.53777, -0.899992, -1.1919, 1.22848, -1.30266, -0.00271381, -0.00195091, -0.00356792, 0.00019701, -0.00105351, 0.00148584, 0.00130047, -0.392998, 57.8879, 27.417, 6.65649, 1.93927, 3.01639, -0.140919, 0.000859543, -0.00168805, -3.2832e-05, 1.88018e-05, -0.000524087, 0.000159937, 0.00235129, 0.00197241, -0.00199618, -0.00187907, -0.000200665, -0.00639666, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469293, -0.542615, 0.33611, -2.08428, -2.16596, -0.129318, -2.91898e-05, -0.000186294, -0.000142179, -0.00198703, -0.00228101, -0.00241873
0.0140857, 1.69114, -1.22554, -1.53777, -0.899992, -1.1919, 1.22848, -1.30266, -0.00271381, -0.00195091, -0.00356792, 0.00019701, -0.00105351, 0.00148584, 0.00130047, -0.392998, 57.8879, 27.417, 6.65649, 1.93927, 3.01639, -0.140919, 0.000859573, -0.00168805, -3.28499e-05, 1.87759e-05, -0.00052408, 0.000159933, 0.00229166, 0.00196297, -0.00196143, -0.0018482, -0.00018994, -0.00646292, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469293, -0.542615, 0.33611, -2.08428, -2.16596, -0.129318, -3.77325e-05, -0.000240197, -0.00018547, -0.00198703, -0.00228101, -0.00241873
0.0150857, 1.69114, -1.22554, -1.53777, -0.899992, -1.1919, 1.22848, -1.30266, -0.00271381, -0.00195091, -0.00356792, 0.00019701, -0.00105351, 0.00148584, 0.00130047, -0.392998, 57.8879, 27.417, 6.65649, 1.93927, 3.01639, -0.140919, 0.000859633, -0.00168804, -3.28845e-05, 1.87257e-05, -0.000524067, 0.000159925, 0.00222713, 0.00195277, -0.00192376, -0.00181462, -0.000178167, -0.00653479, 0.471008, -0.543389, 0.335894, -2.08385, -2.16584, -0.129887, 0.469293, -0.542615, 0.33611, -2.08428, -2.16596, -0.129318, -4.69786e-05, -0.000298522, -0.00023237, -0.00198703, -0.00228101, -0.00241873
0.0160857, 1.69114, -1.22554, -1.53777, -0.899992, -1.1919, 1.22848, -1.30266, -0.00271381, -0.00195091, -0.00356792, 0.00019701, -0.00105351, 0.00148584, 0.00130047, -0.392998, 57.8879, 27.417, 6.65649, 1.93927, 3.01639, -0.140919, 0.000859731, -0.00168802, -3.29415e-05, 1.86431e-05, -0.000524046, 0.000159912, 0.00215755, 0.00194176, -0.00188309, -0.00177827, -0.000165301, -0.00661247, 0.471008, -0.54339, 0.335894, -2.08385, -2.16584, -0.129887, 0.469293, -0.542615, 0.33611, -2.08428, -2.16596, -0.129318, -5.69498e-05, -0.000361405, -0.000282992, -0.00198703, -0.00228101, -0.00241873
0.0170857, 1.69114, -1.22554, -1.53777, -0.899992, -1.1919, 1.22848, -1.30266, -0.00271381, -0.00195091, -0.00356792, 0.00019701, -0.00105351, 0.00148584, 0.00130047, -0.392998, 57.8879, 27.417, 6.65649, 1.93927, 3.01639, -0.140919, 0.000859877, -0.001688, -3.30261e-05, 1.85202e-05, -0.000524015, 0.000159892, 0.00208277, 0.00192993, -0.00183933, -0.00173903, -0.000151298, -0.00669612, 0.471008, -0.54339, 0.335894, -2.08385, -2.16584, -0.129886, 0.469293, -0.542615, 0.33611, -2.08428, -2.16596, -0.129318, -6.7667e-05, -0.000428975, -0.000337449, -0.00198703, -0.00228101, -0.00241873
0.0180857, 1.69114, -1.22554, -1.53777, -0.899992, -1.1919, 1.22848, -1.30266, -0.00271381, -0.00195091, -0.00356792, 0.00019701, -0.00105351, 0.00148584, 0.00130047, -0.392998, 57.8879, 27.417, 6.65649, 1.93927, 3.01639, -0.140919, 0.00086008, -0.00168797, -3.31439e-05, 1.8349e-05, -0.000523971, 0.000159865, 0.00200266, 0.00191726, -0.0017924, -0.00169682, -0.000136114, -0.00678593, 0.471008, -0.54339, 0.335893, -2.08385, -2.16584, -0.129886, 0.469293, -0.542615, 0.33611, -2.08428, -2.16596, -0.129318, -7.91509e-05, -0.000501362, -0.000395848, -0.00198703, -0.00228101, -0.00241873
0.0190857, 1.69114, -1.22554, -1.53777, -0.899992, -1.1919, 1.22848, -1.30266, -0.00271381, -0.00195091, -0.00356792, 0.00019701, -0.00105351, 0.00148584, 0.00130047, -0.392998, 57.8879, 27.417, 6.65649, 1.93927, 3.01639, -0.140919, 0.000860349, -0.00168793, -3.33e-05, 1.81216e-05, -0.000523914, 0.000159829, 0.00191707, 0.00190373, -0.00174219, -0.00165155, -0.000119704, -0.00688207, 0.471008, -0.54339, 0.335893, -2.08385, -2.16584, -0.129886, 0.469293, -0.542615, 0.33611, -2.08428, -2.16596, -0.129318, -9.14213e-05, -0.000578688, -0.000458296, -0.00198703, -0.00228101, -0.00241873
0.0200857, 1.69114, -1.22554, -1.53777, -0.899992, -1.1919, 1.22848, -1.30266, -0.00271381, -0.00195091, -0.00356792, 0.00019701, -0.00105351, 0.00148584, 0.00130047, -0.392998, 57.8879, 27.417, 6.65649, 1.93927, 3.01639, -0.140919, 0.000860692, -0.00168787, -3.34997e-05, 1.78303e-05, -0.00052384, 0.000159783, 0.00182586, 0.0018893, -0.00168864, -0.00160314, -0.000102025, -0.00698471, 0.471008, -0.54339, 0.335893, -2.08385, -2.16584, -0.129885, 0.469293, -0.542615, 0.33611, -2.08428, -2.16596, -0.129318, -0.000104498, -0.000661074, -0.000524897, -0.00198703, -0.00228101, -0.00241873
0.0210857, 1.69114, -1.22554, -1.53777, -0.899992, -1.1919, 1.22848, -1.30266, -0.00271381, -0.00195091, -0.00356792, 0.00019701, -0.00105351, 0.00148584, 0.00130047, -0.392998, 57.8879, 27.417, 6.65649, 1.93927, 3.01639, -0.140919, 0.000861119, -0.0016878, -3.37483e-05, 1.74673e-05, -0.000523749, 0.000159726, 0.00172892, 0.00187397, -0.00163166, -0.00155149, -8.30329e-05, -0.00709402, 0.471008, -0.543391, 0.335893, -2.08385, -2.16584, -0.129885, 0.469293, -0.542615, 0.33611, -2.08428, -2.16596, -0.129318, -0.000118398, -0.000748633, -0.000595748, -0.00198703, -0.00228101, -0.00241873
0.0220859, 1.69114, -1.22554, -1.53777, -0.899992, -1.1919, 1.22848, -1.30266, -0.00271381, -0.00195091, -0.00356792, 0.00019701, -0.00105351, 0.00148584, 0.00130047, -0.392998, 57.8879, 27.417, 6.65649, 1.93927, 3.01639, -0.140919, 0.000861639, -0.00168772, -3.40508e-05, 1.70249e-05, -0.000523639, 0.000159657, 0.00162612, 0.00185772, -0.00157116, -0.00149653, -6.26833e-05, -0.00721015, 0.471008, -0.543391, 0.335892, -2.08385, -2.16584, -0.129884, 0.469293, -0.542615, 0.33611, -2.08428, -2.16596, -0.129318, -0.000133141, -0.000841478, -0.000670947, -0.00198703, -0.00228101, -0.00241873
