Time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,t1,t2,t3,t4,t5,t6,t7,ex1,ex2,ex3,ex4,ex5,ex6,ev1,ev2,ev3,ev4,ev5,ev6,xd,yd,zd,uxd,uyd,uzd,x,y,z,ux,uy,uz,vxd,vyd,vzd,vx,vy,vz
9.76563e-07, 0.107473, -0.774204, -0.916236, -1.45653, -0.62543, 1.07001, -0.256736, 0.000225385, -0.00206364, -0.00146269, 0.00503101, -0.00031909, 0.00294078, -0.000879832, 0.21003, 16.525, 21.5336, 17.9315, 1.41192, 4.1846, -0.172963, 0.000783459, -0.00169173, 0.000124443, 0.000183912, -0.000362255, 0.000343781, 0.00179524, -0.0012179, 0.00129329, 0.00438003, -0.00650856, -0.00274264, -0.011112, -0.444721, 0.635038, -3.13187, -0.0555627, -0.107532, -0.0103775, -0.443001, 0.634971, -3.13169, -0.0554742, -0.106929, 0, 0, 0, -0.00183493, -0.00129137, 0.00115937
0.0121807, 0.107475, -0.774213, -0.916253, -1.45647, -0.625437, 1.07001, -0.256741, 0.00106729, -4.40985e-05, -0.00211889, 0.00724255, -0.00730173, 0.000220558, -0.0033737, 0.21003, 16.4893, 21.7597, 17.8918, 1.43573, 4.19925, -0.120778, 0.000763385, -0.00168375, 0.000112027, 0.000159523, -0.000321949, 0.000380723, 0.00313731, -0.00176229, 0.00159499, 0.00602625, 0.000767123, -0.00438414, -0.011112, -0.444721, 0.635038, -3.13187, -0.0555627, -0.107532, -0.0104033, -0.44301, 0.634989, -3.13172, -0.0554016, -0.107015, 1.73063e-06, -1.42215e-06, -3.96181e-06, -0.0031725, -0.00188662, 0.00136084
0.0131807, 0.107475, -0.774213, -0.916253, -1.45647, -0.625437, 1.07001, -0.256741, 0.00106729, -4.40985e-05, -0.00211889, 0.00724255, -0.00730173, 0.000220558, -0.0033737, 0.21003, 16.4893, 21.7597, 17.8918, 1.43573, 4.19925, -0.120778, 0.000763382, -0.00168375, 0.000112017, 0.000159503, -0.000321971, 0.00038073, 0.00314152, -0.00175778, 0.00160713, 0.00605042, 0.000783652, -0.00434062, -0.011112, -0.444721, 0.635038, -3.13187, -0.0555628, -0.107532, -0.0104033, -0.44301, 0.634989, -3.13172, -0.0554016, -0.107015, 6.91577e-06, -5.6745e-06, -1.58141e-05, -0.0031725, -0.00188662, 0.00136084
0.0141807, 0.107475, -0.774213, -0.916253, -1.45647, -0.625437, 1.07001, -0.256741, 0.00106729, -4.40985e-05, -0.00211889, 0.00724255, -0.00730173, 0.000220558, -0.0033737, 0.21003, 16.4893, 21.7597, 17.8918, 1.43573, 4.19925, -0.120778, 0.000763373, -0.00168376, 0.000111992, 0.000159449, -0.000322029, 0.00038075, 0.00314852, -0.00175029, 0.00162731, 0.00609056, 0.000811114, -0.00426832, -0.011112, -0.444721, 0.635038, -3.13187, -0.0555628, -0.107532, -0.0104033, -0.44301, 0.634989, -3.13172, -0.0554016, -0.107015, 1.55453e-05, -1.2736e-05, -3.55071e-05, -0.0031725, -0.00188662, 0.00136084
0.0151807, 0.107475, -0.774213, -0.916253, -1.45647, -0.625437, 1.07001, -0.256741, 0.00106729, -4.40985e-05, -0.00211889, 0.00724255, -0.00730173, 0.000220558, -0.0033737, 0.21003, 16.4893, 21.7597, 17.8918, 1.43573, 4.19925, -0.120778, 0.000763356, -0.00168378, 0.000111942, 0.000159343, -0.000322143, 0.000380788, 0.00315832, -0.00173985, 0.00165547, 0.00614655, 0.000849438, -0.00416741, -0.011112, -0.444721, 0.635038, -3.13187, -0.0555628, -0.107532, -0.0104033, -0.44301, 0.634989, -3.13172, -0.0554016, -0.107015, 2.7609e-05, -2.25855e-05, -6.29913e-05, -0.0031725, -0.00188662, 0.00136084
0.0161807, 0.107475, -0.774213, -0.916253, -1.45647, -0.625437, 1.07001, -0.256741, 0.00106729, -4.40985e-05, -0.00211889, 0.00724255, -0.00730173, 0.000220558, -0.0033737, 0.21003, 16.4893, 21.7597, 17.8918, 1.43573, 4.19925, -0.120778, 0.000763328, -0.00168381, 0.000111861, 0.000159169, -0.00032233, 0.000380851, 0.00317089, -0.00172647, 0.00169156, 0.00621828, 0.000898552, -0.00403807, -0.0111119, -0.444721, 0.635038, -3.13187, -0.0555629, -0.107532, -0.0104033, -0.44301, 0.634989, -3.13172, -0.0554016, -0.107015, 4.30968e-05, -3.5202e-05, -9.82172e-05, -0.0031725, -0.00188662, 0.00136084
0.0171807, 0.107475, -0.774213, -0.916253, -1.45647, -0.625437, 1.07001, -0.256741, 0.00106729, -4.40985e-05, -0.00211889, 0.00724255, -0.00730173, 0.000220558, -0.0033737, 0.21003, 16.4893, 21.7597, 17.8918, 1.43573, 4.19925, -0.120778, 0.000763285, -0.00168386, 0.00011174, 0.000158911, -0.000322608, 0.000380944, 0.00318625, -0.00171018, 0.00173554, 0.00630562, 0.000958387, -0.00388049, -0.0111119, -0.444721, 0.635038, -3.13187, -0.0555631, -0.107533, -0.0104033, -0.44301, 0.634989, -3.13172, -0.0554016, -0.107015, 6.19987e-05, -5.05647e-05, -0.000141136, -0.0031725, -0.00188662, 0.00136084
0.0181809, 0.107475, -0.774213, -0.916253, -1.45647, -0.625437, 1.07001, -0.256741, 0.00106729, -4.40985e-05, -0.00211889, 0.00724255, -0.00730173, 0.000220558, -0.0033737, 0.21003, 16.4893, 21.7597, 17.8918, 1.43573, 4.19925, -0.120778, 0.000763226, -0.00168392, 0.000111571, 0.00015855, -0.000322996, 0.000381074, 0.00320438, -0.00169099, 0.00178735, 0.00640846, 0.00102887, -0.00369486, -0.0111118, -0.444721, 0.635037, -3.13187, -0.0555633, -0.107533, -0.0104033, -0.44301, 0.634989, -3.13172, -0.0554016, -0.107015, 8.43044e-05, -6.86525e-05, -0.000191697, -0.0031725, -0.00188662, 0.00136084
0.0191812, 0.107475, -0.774213, -0.916253, -1.45647, -0.625437, 1.07001, -0.256741, 0.00106729, -4.40985e-05, -0.00211889, 0.00724255, -0.00730173, 0.000220558, -0.0033737, 0.21003, 16.4893, 21.7597, 17.8918, 1.43573, 4.19925, -0.120778, 0.000763148, -0.001684, 0.000111346, 0.000158072, -0.00032351, 0.000381246, 0.00322527, -0.00166894, 0.00184695, 0.00652669, 0.00110994, -0.00348134, -0.0111117, -0.444721, 0.635037, -3.13187, -0.0555636, -0.107534, -0.0104033, -0.44301, 0.634989, -3.13172, -0.0554016, -0.107015, 0.000110004, -8.94448e-05, -0.000249853, -0.0031725, -0.00188662, 0.00136084
0.0201814, 0.107475, -0.774213, -0.916253, -1.45647, -0.625437, 1.07001, -0.256741, 0.00106729, -4.40985e-05, -0.00211889, 0.00724255, -0.00730173, 0.000220558, -0.0033737, 0.21003, 16.4893, 21.7597, 17.8918, 1.43573, 4.19925, -0.120778, 0.000763047, -0.00168411, 0.000111059, 0.00015746, -0.00032417, 0.000381467, 0.00324893, -0.00164403, 0.00191429, 0.00666018, 0.00120151, -0.00324013, -0.0111116, -0.444721, 0.635037, -3.13187, -0.055564, -0.107535, -0.0104033, -0.44301, 0.634989, -3.13172, -0.0554016, -0.107015, 0.000139087, -0.000112921, -0.000315553, -0.0031725, -0.00188662, 0.00136084
